iter,block,ch,status,score,phi_raw,perf_raw,phi_n,perf_n,weights,perf_rank_n,perf_max_n,phi_rank_n,phi_max_n,score_rank,score_rank_a0.3,score_rank_a0.5,score_rank_a0.7,score_rank_a0.9,score_max,score_max_a0.3,score_max_a0.5,score_max_a0.7,score_max_a0.9
92,features.8,312,active,-0.093001,1.073755e-07,4.522586e-05,0.16,0.0632,137,0.18181818181818182,0.06321696591839754,0.5454545454545454,0.15995094314383063,-0.3272727272727272,-0.3272727272727272,-0.1818181818181818,-0.036363636363636376,0.1090909090909091,-0.09300057042516216,-0.09300057042516216,-0.048366988612716544,-0.0037334068002709206,0.04090017501217473
92,features.8,332,active,0.014155,3.057195e-08,0.0001097777,0.0455,0.1534,137,0.45454545454545453,0.15344789727602903,0.09090909090909091,0.04554122901635879,0.07272727272727272,0.07272727272727272,0.18181818181818182,0.2909090909090909,0.39999999999999997,0.01415550887135756,0.01415550887135756,0.05395333412983512,0.09375115938831267,0.13354898464679027
92,features.9,7,active,-0.180549,4.85395e-08,3.31325e-05,0.2585,0.0014,137,0.5454545454545454,0.0013519623192360395,0.5454545454545454,0.25850660040081186,-0.21818181818181817,-0.21818181818181817,0.0,0.21818181818181814,0.4363636363636364,-0.1805490315847975,-0.1805490315847975,-0.1285773190407879,-0.07660560649677835,-0.024633893952768743
92,features.9,20,active,-0.070873,1.901718e-08,1.843362e-06,0.1013,0.0001,137,0.2727272727272727,7.521786658753743e-05,0.36363636363636365,0.10127971138990535,-0.17272727272727273,-0.17272727272727273,-0.04545454545454547,0.08181818181818178,0.2090909090909091,-0.07087323261295748,-0.07087323261295748,-0.050602246761658906,-0.03033126091036033,-0.01006027505906175
92,features.9,56,active,-0.342824,9.316189e-08,0.0003661878,0.4962,0.0149,137,0.9090909090909091,0.014942189915157111,0.8181818181818182,0.4961518654047608,-0.30000000000000004,-0.30000000000000004,0.045454545454545414,0.3909090909090909,0.7363636363636363,-0.3428236488087854,-0.3428236488087854,-0.24060483774480185,-0.13838602668081829,-0.03616721561683467
92,features.9,92,active,-0.0,5.735775e-20,0.0,0.0,0.0,137,0.0,0.0,0.18181818181818182,3.0546991541197717e-13,-0.12727272727272726,-0.12727272727272726,-0.09090909090909091,-0.05454545454545456,-0.018181818181818177,-2.13828940788384e-13,-2.13828940788384e-13,-1.5273495770598859e-13,-9.164097462359316e-14,-3.0546991541197714e-14
92,features.9,114,protected,0.063844,6.334675e-08,0.02450697,0.3374,1.0,137,1.0,0.9999999999591953,0.6363636363636364,0.337365506215353,-0.14545454545454545,-0.14545454545454545,0.18181818181818182,0.509090909090909,0.8363636363636364,0.06384414563701149,0.06384414563701149,0.33131724687192116,0.5987903481068307,0.8662634493417406
92,features.9,180,active,-0.522584,1.402295e-07,1.548218e-05,0.7468,0.0006,137,0.36363636363636365,0.0006317459889724538,0.9090909090909091,0.7468196277445306,-0.5272727272727272,-0.5272727272727272,-0.2727272727272727,-0.018181818181818243,0.2363636363636364,-0.5225842156244797,-0.5225842156244797,-0.3730939408777791,-0.2236036661310785,-0.07411339138437784
92,features.9,207,active,-0.044068,1.213842e-08,9.668665e-05,0.0646,0.0039,137,0.7272727272727273,0.003945271487909551,0.2727272727272727,0.06464552969101912,0.027272727272727282,0.027272727272727282,0.2272727272727273,0.42727272727272725,0.6272727272727273,-0.04406828933734052,-0.04406828933734052,-0.030350129101554785,-0.016631968865769054,-0.002913808629983315
92,features.9,214,active,-0.110789,2.988757e-08,5.160225e-05,0.1592,0.0021,137,0.6363636363636364,0.002105615259572864,0.45454545454545453,0.15917209931996193,-0.1272727272727273,-0.1272727272727273,0.09090909090909091,0.3090909090909091,0.5272727272727273,-0.11078878494610149,-0.11078878494610149,-0.07853324203019453,-0.04627769911428758,-0.014022156198380613
