layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf,perf_conv1_only,perf_unified
features.16.conv.1.0,features.16,27,0.2289326251189245,0.2287376497498857,-0.0001949753690388,0.0001949753690388,0.827492596248766,0.827492596248766,0.0,0.0,4.837917231270694e-07,2.366485229998716e-09,2.366485229998716e-09,2.55832131174083e-09
features.16.conv.1.0,features.16,28,0.2289326251189245,0.2293245201334492,0.0003918950145247,0.0003918950145247,0.827492596248766,0.8270977295162882,-0.0003948667324777,0.0003948667324777,2.537797172408318e-07,4.6183079582817754e-09,4.6183079582817754e-09,4.942920794892558e-09
features.16.conv.1.0,features.16,29,0.2289326251189245,0.2282278413520757,-0.0007047837668488,0.0007047837668488,0.827492596248766,0.8269990128331688,-0.0004935834155972,0.0004935834155972,5.0770122328458456e-08,5.585886420078623e-09,5.585886420078623e-09,5.749655876408077e-09
features.16.conv.1.0,features.16,30,0.2289326251189245,0.2301656531870283,0.0012330280681037,0.0012330280681037,0.827492596248766,0.8275913129318855,9.87166831194486e-05,9.87166831194486e-05,1.722531237646763e-07,1.5074894665900727e-09,1.5074894665900727e-09,1.9249559585210463e-09
features.16.conv.1.0,features.16,31,0.2289326251189245,0.2291649465499042,0.0002323214309797,0.0002323214309797,0.827492596248766,0.8272951628825271,-0.0001974333662388,0.0001974333662388,6.380056447596871e-07,1.4905840117762637e-08,1.4905840117762637e-08,1.652475611901849e-08
features.16.conv.1.0,features.16,32,0.2289326251189245,0.2294312719616361,0.0004986468427115,0.0004986468427115,0.827492596248766,0.8276406712734452,0.0001480750246791,0.0001480750246791,3.0496707381644235e-08,5.183091733584888e-09,5.183091733584888e-09,5.345835177306135e-09
features.16.conv.1.0,features.16,33,0.2289326251189245,0.2289326251189245,0.0,0.0,0.827492596248766,0.827492596248766,0.0,0.0,7.266777402037405e-09,2.306772654836476e-11,2.306772654836476e-11,2.5231006845448378e-11
features.16.conv.1.0,features.16,34,0.2289326251189245,0.229116983246711,0.0001843581277864,0.0001843581277864,0.827492596248766,0.8273938795656466,-9.87166831194486e-05,9.87166831194486e-05,1.9960479491487604e-08,9.349213847542616e-09,9.349213847542616e-09,9.439589755688704e-09
features.16.conv.1.0,features.16,35,0.2289326251189245,0.2287852325090704,-0.000147392609854,0.000147392609854,0.827492596248766,0.8275913129318855,9.87166831194486e-05,9.87166831194486e-05,1.8593747652673187e-09,4.5226895145633605e-11,4.5226895145633605e-11,4.6832119508354725e-11
features.16.conv.1.0,features.16,36,0.2289326251189245,0.2293991158729938,0.0004664907540692,0.0004664907540692,0.827492596248766,0.827492596248766,0.0,0.0,1.5811815856636713e-08,1.6941019420624315e-10,1.6941019420624315e-10,1.8122659492872395e-10
features.16.conv.1.0,features.16,37,0.2289326251189245,0.2294562250878798,0.0005235999689552,0.0005235999689552,0.827492596248766,0.827492596248766,0.0,0.0,1.114186716222321e-07,1.4446572826898314e-09,1.4446572826898314e-09,1.6736932534344717e-09
features.16.conv.1.0,features.16,38,0.2289326251189245,0.2299195156829605,0.0009868905640359,0.0009868905640359,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,1.2170018770518707e-08,5.084332510563172e-09,5.084332510563172e-09,5.258721749723527e-09
features.16.conv.1.0,features.16,39,0.2289326251189245,0.2302455115939828,0.0013128864750582,0.0013128864750582,0.827492596248766,0.8280848963474827,0.0005923000987166,0.0005923000987166,1.7231903370884538e-07,2.9590372374599383e-09,2.9590372374599383e-09,3.734927232074137e-09
features.16.conv.1.0,features.16,40,0.2289326251189245,0.228445565913183,-0.0004870592057415,0.0004870592057415,0.827492596248766,0.827492596248766,0.0,0.0,6.303250899009072e-08,4.263053521302851e-10,4.263053521302851e-10,4.811761926404312e-10
features.16.conv.1.0,features.16,41,0.2289326251189245,0.2293853711668644,0.0004527460479398,0.0004527460479398,0.827492596248766,0.8277887462981244,0.0002961500493583,0.0002961500493583,1.6300054994644597e-07,9.425478175728583e-10,9.425478175728583e-10,1.1924144310837548e-09
features.16.conv.1.0,features.16,42,0.2289326251189245,0.2294863186681006,0.000553693549176,0.000553693549176,0.827492596248766,0.8275913129318855,9.87166831194486e-05,9.87166831194486e-05,5.543815007058585e-08,2.6134594488524954e-10,2.6134594488524954e-10,3.233415826753294e-10
features.16.conv.1.0,features.16,43,0.2289326251189245,0.2288002799627572,-0.0001323451561672,0.0001323451561672,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,7.189774553495454e-09,1.6583125150848588e-10,1.6583125150848588e-10,1.941831218391088e-10
