================================================================================
Channel Pruning Log
  iteration  : 18
  alpha      : 0.3000
  timestamp  : 2026-05-22 14:26:02
  remove_target  : 29557
  accum_removed  : 29811
  selected_channels : 155
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 776060
  model_sparsity : 66.1%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          0      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          4      172    89.6%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         65      209    54.4%
features.8                       362    -0.076668 8.332653e-08 1.454715e-07      137
features.11                      147    -0.076564 1.711369e-07 6.825950e-08      169
features.11                        0    -0.075841 1.864840e-07 1.934760e-06      169
features.16                      448    -0.075426 4.632738e-07 5.898132e-09      329
features.16                      958    -0.074988 5.718871e-07 8.603353e-07      329
features.8                       146    -0.074707 8.417200e-08 3.582411e-07      137
features.11                      235    -0.074616 2.413026e-07 8.269132e-06      169
features.11                       44    -0.074195 1.773835e-07 1.336712e-06      169
features.8                       102    -0.074088 7.948432e-08 6.512312e-08      137
features.11                       57    -0.073312 1.838985e-07 2.270310e-06      169
features.8                       355    -0.072897 7.790140e-08 4.190119e-08      137
features.8                       220    -0.072857 7.951403e-08 1.622071e-07      137
features.8                       328    -0.072661 8.024355e-08 2.303838e-07      137
features.11                      164    -0.071860 1.620436e-07 2.205397e-07      169
features.16                      913    -0.071657 4.418264e-07 1.869534e-08      329
features.16                      827    -0.071499 4.425564e-07 3.173905e-08      329
features.11                       29    -0.071387 1.697837e-07 1.188511e-06      169
features.16                      439    -0.071375 4.388760e-07 9.322001e-09      329
features.11                      301    -0.071138 1.696213e-07 1.231495e-06      169
features.11                      294    -0.070346 1.593456e-07 2.947237e-07      169
features.8                       148    -0.070343 7.494457e-08 2.390915e-08      137
features.16                      396    -0.070275 4.533629e-07 1.722879e-07      329
features.8                       370    -0.070242 7.691352e-08 1.748460e-07      137
features.11                      323    -0.070004 1.622809e-07 7.015270e-07      169
features.11                      243    -0.069998 1.701512e-07 1.569297e-06      169
features.11                      307    -0.069636 1.564844e-07 1.537717e-07      169
features.8                       381    -0.069550 7.600837e-08 1.623474e-07      137
features.16                       15    -0.069390 4.771356e-07 3.964757e-07      329
features.16                      637    -0.069180 4.323340e-07 6.239997e-08      329
features.16                      513    -0.068962 4.351548e-07 9.431000e-08      329
features.8                       297    -0.068480 7.536745e-08 1.982812e-07      137
features.16                      540    -0.068168 4.209412e-07 2.258321e-08      329
features.8                       162    -0.068097 8.233516e-08 7.344514e-07      137
features.8                        75    -0.067851 1.036280e-07 2.301594e-06      137
features.8                       341    -0.067828 7.279753e-08 6.173327e-08      137
features.8                        26    -0.067584 7.228297e-08 4.312708e-08      137
features.8                       121    -0.066939 8.234832e-08 8.247290e-07      137
features.16                      804    -0.066921 4.182945e-07 6.098273e-08      329
features.8                       278    -0.066381 7.668263e-08 4.557902e-07      137
features.8                       172    -0.066297 7.187507e-08 1.127295e-07      137
features.11                      156    -0.066206 1.734969e-07 2.867240e-06      169
features.16                      136    -0.066163 4.098239e-07 3.162492e-08      329
features.11                       31    -0.065803 1.943610e-07 5.262672e-06      169
features.8                       354    -0.065551 7.489830e-08 3.900887e-07      137
features.16                      375    -0.065394 4.394133e-07 2.949847e-07      329
features.8                       364    -0.064791 6.959252e-08 6.292984e-08      137
features.16                      200    -0.064705 4.001473e-07 2.599525e-08      329
features.16                      438    -0.064697 3.984575e-07 1.338528e-08      329
