layer_name,num_channels,score_name,activation_metric,num_points,pearson,pearson_p,spearman,spearman_p
features.1.conv.1,16,importance_score,gap_y0,16,0.6323999646396108,0.008571143717861758,0.7911764705882354,0.0002619464480824597
features.1.conv.1,16,importance_score,gap_y1,16,0.6220495193862862,0.01008398177580727,0.7970588235294117,0.00021809806990574765
features.1.conv.1,16,importance_score,activation_gap,16,0.627500491664011,0.009263070050395327,0.8029411764705883,0.00018051679467984317
features.1.conv.1,16,importance_score,mean_gradient,16,0.4275425384480877,0.09855963943421057,0.29705882352941176,0.2638630146135225
features.10.conv.0.0,384,importance_score,phi,384,0.18299274989378314,0.000312508437889758,0.22497271407529854,8.532587622499825e-06
features.10.conv.0.0,384,importance_score,gap_y0,384,0.012682974123262546,0.8043400385813985,0.008317800682628905,0.8709386082500837
features.10.conv.0.0,384,importance_score,gap_y1,384,0.021095561285360415,0.680277071510951,-0.006804625568636592,0.8942647855310177
features.10.conv.0.0,384,importance_score,activation_gap,384,0.01757152018289578,0.7314224125696114,0.006829209366006774,0.8938850319767524
features.10.conv.0.0,384,importance_score,mean_gradient,384,0.3422713889606931,5.401827739319551e-12,0.404498415826896,1.5041920131952962e-16
features.10.conv.1.0,384,importance_score,phi,384,-0.04788961356126087,0.34931508979990616,-0.08150109673522588,0.11081608645063822
features.10.conv.1.0,384,importance_score,gap_y0,384,-0.094636385463381,0.06393959354013326,-0.20044950249547,7.64057166615015e-05
features.10.conv.1.0,384,importance_score,gap_y1,384,-0.09613441280647277,0.0598276371125619,-0.21830232894518917,1.588426369821952e-05
features.10.conv.1.0,384,importance_score,activation_gap,384,-0.09750835660476118,0.05625074539236589,-0.22428573169423222,9.104549888830462e-06
features.10.conv.1.0,384,importance_score,mean_gradient,384,0.17554427011494422,0.0005490541410080047,0.37394985008649323,3.43472797586196e-14
features.10.conv.2,64,importance_score,phi,64,0.2658455175136213,0.03373574289884696,0.2076465201465201,0.09967500653964027
features.10.conv.2,64,importance_score,gap_y0,64,0.15867733838067027,0.21044181883785437,0.10306776556776556,0.41768003613729576
features.10.conv.2,64,importance_score,gap_y1,64,0.13716070798115243,0.27979637966257176,0.10329670329670329,0.4166409632559165
features.10.conv.2,64,importance_score,activation_gap,64,0.15316756621111272,0.226918316613361,0.114514652014652,0.36757224288937596
features.10.conv.2,64,importance_score,mean_gradient,64,0.5436225812316462,3.448194542890884e-06,0.5813186813186813,4.733047470275752e-07
features.11.conv.0.0,384,importance_score,phi,384,0.364863765221637,1.552562975143153e-13,0.36381099318436133,1.8434519333255376e-13
features.11.conv.0.0,384,importance_score,gap_y0,384,0.0602334628716312,0.23897548167410387,0.03647956156115425,0.4759959619723527
features.11.conv.0.0,384,importance_score,gap_y1,384,0.08163099019936436,0.11024663010302843,0.06568486996032688,0.19902076047706901
features.11.conv.0.0,384,importance_score,activation_gap,384,0.07389074439682525,0.14839814295450995,0.05416588959343528,0.2897148460697077
features.11.conv.0.0,384,importance_score,mean_gradient,384,0.5409418271703872,1.4410825047249208e-30,0.615232613339663,2.3201331017887584e-41
features.11.conv.1.0,384,importance_score,phi,384,0.164156732309451,0.001245539019417025,0.11188286256824115,0.02836601753958654
features.11.conv.1.0,384,importance_score,gap_y0,384,0.01386688875093062,0.7864975120327958,-0.07307208131294293,0.15295897434528566
features.11.conv.1.0,384,importance_score,gap_y1,384,-0.02609140926554778,0.6102581077889532,-0.11231901258010919,0.0277511079445165
features.11.conv.1.0,384,importance_score,activation_gap,384,-0.007475706728410707,0.883907341501542,-0.10104438642297651,0.04785327486076462
features.11.conv.1.0,384,importance_score,mean_gradient,384,0.4061321496054099,1.1070175842075079e-16,0.48416847512800515,5.811735951289774e-24
features.11.conv.2,96,importance_score,phi,96,0.602834513378858,8.088215895095157e-11,0.23689636462289748,0.020131981936686784
features.11.conv.2,96,importance_score,gap_y0,96,0.3648499943332233,0.00025739477636739543,0.07486435160065111,0.4684966198950762
features.11.conv.2,96,importance_score,gap_y1,96,0.3714705470373258,0.000194361666182236,0.18685567010309279,0.06831664917480536
features.11.conv.2,96,importance_score,activation_gap,96,0.3767275849814634,0.0001548334443641765,0.1392430819316332,0.1760467364542096
features.11.conv.2,96,importance_score,mean_gradient,96,0.7220477194228568,1.0287730002498395e-16,0.5170238741182854,6.92190708898975e-08
features.12.conv.0.0,576,importance_score,phi,576,0.20882998249600282,4.261464635373698e-07,0.19158587423733947,3.6383593104214745e-06
features.12.conv.0.0,576,importance_score,gap_y0,576,0.04172373663808478,0.3174897273495522,-0.036283281086966476,0.38474139962474285
features.12.conv.0.0,576,importance_score,gap_y1,576,0.044704143679720906,0.2841225309527752,-0.03141790620217518,0.4517038075795947
features.12.conv.0.0,576,importance_score,activation_gap,576,0.04431421419635441,0.2883480909094956,-0.03327829263659494,0.4253552955224357
features.12.conv.0.0,576,importance_score,mean_gradient,576,0.2676017190365584,6.669226961890459e-11,0.4185525280354899,7.78413530778072e-26
features.12.conv.1.0,576,importance_score,phi,576,-0.030713011802305526,0.46192265693847145,-0.2364119520969695,9.29207044433468e-09
features.12.conv.1.0,576,importance_score,gap_y0,576,0.0022692364068027035,0.9566615436244695,-0.262185048927572,1.649073133345649e-10
features.12.conv.1.0,576,importance_score,gap_y1,576,-0.02439043255058971,0.5590953911251376,-0.27273582979197963,2.7744141990769504e-11
features.12.conv.1.0,576,importance_score,activation_gap,576,-0.012238074947216012,0.7694558537695483,-0.2806370945318518,6.935995354510801e-12
features.12.conv.1.0,576,importance_score,mean_gradient,576,0.16015359911592464,0.0001132565452080115,0.11412008611272768,0.006108586266679722
features.12.conv.2,96,importance_score,phi,96,0.11296019018232584,0.2731695180259569,0.022327726532826914,0.8290443986758342
features.12.conv.2,96,importance_score,gap_y0,96,-0.03350168076140746,0.745908368348734,-0.0539880629408573,0.6013745936430341
features.12.conv.2,96,importance_score,gap_y1,96,-0.0466538808423867,0.6517223469527634,-0.07236842105263158,0.48349401947272497
features.12.conv.2,96,importance_score,activation_gap,96,-0.04228225235628592,0.6825133004050735,-0.06848887683125339,0.5073049683669016
features.12.conv.2,96,importance_score,mean_gradient,96,0.5618622504656696,2.5833583436578896e-09,0.4982365708084645,2.397401616553788e-07
features.13.conv.0.0,576,importance_score,phi,576,0.3687437842020247,5.424885465079608e-20,0.21959995157352147,1.0146889548404673e-07
features.13.conv.0.0,576,importance_score,gap_y0,576,0.08094561407707458,0.05217806791610871,-0.07921276398281862,0.057437994047680595
features.13.conv.0.0,576,importance_score,gap_y1,576,0.08138989705482208,0.05089616367841497,-0.0530908084841412,0.20326338626355359
features.13.conv.0.0,576,importance_score,activation_gap,576,0.08353993282545566,0.04505856998915424,-0.06523861008596078,0.11781948723332525
features.13.conv.0.0,576,importance_score,mean_gradient,576,0.31254423859922353,1.6166867244704998e-14,0.49749572563486283,2.4003719007824906e-37
features.13.conv.1.0,576,importance_score,phi,576,-0.10400423337194606,0.012508820579501048,-0.2607723169332174,2.0812442488700037e-10
features.13.conv.1.0,576,importance_score,gap_y0,576,-0.1082322130599568,0.009334046342572965,-0.3126464819343866,1.5836467433962075e-14
features.13.conv.1.0,576,importance_score,gap_y1,576,-0.13880407463183025,0.0008370491887093275,-0.3205216873010853,3.1510172961905408e-15
features.13.conv.1.0,576,importance_score,activation_gap,576,-0.12637816351366266,0.002376179384702955,-0.3351759089320982,1.372898515411166e-16
features.13.conv.1.0,576,importance_score,mean_gradient,576,0.13114296096440686,0.0016092414466674387,0.18194258749607223,1.1135459982480824e-05
features.13.conv.2,96,importance_score,phi,96,0.30064785457488435,0.002917208229149468,0.1030113944655453,0.317920654146295
features.13.conv.2,96,importance_score,gap_y0,96,0.061372074491270794,0.5525091646273896,0.017254476397178514,0.8674829846776255
features.13.conv.2,96,importance_score,gap_y1,96,0.08796527761588724,0.3940788554610776,0.04401790558871405,0.6702226093759811
features.13.conv.2,96,importance_score,activation_gap,96,0.07779317019870904,0.45122617575833185,0.028865979381443297,0.7801059589479961
features.13.conv.2,96,importance_score,mean_gradient,96,0.625443442320106,9.599462781790877e-12,0.4392566467715681,7.5627358079334e-06
features.14.conv.0.0,576,importance_score,phi,576,0.28736962157134577,2.0546812150927013e-12,0.31917688064127553,4.165481450672727e-15
features.14.conv.0.0,576,importance_score,gap_y0,576,0.03175118238321452,0.4469170578099784,0.03716471437038019,0.373292395326429
