channel_index,baseline_eo,pruned_eo,delta_eo_abs,phi,gap_y0,gap_y1,activation_gap,mean_gradient,importance_channel
29,0.22731779732677534,0.22580271065365315,0.0015150866731221957,1.47578678269245e-06,0.034406863233778534,0.0887574646845338,0.12316432791831233,1.1982258236908116e-05,1.0305984687875025e-07
30,0.22731779732677534,0.2288056100346568,0.001487812707881453,1.3999819276064562e-06,0.03931225769150609,0.06183341921889812,0.10114567691040421,1.3841243346925972e-05,1.2122893622290576e-07
31,0.22731779732677534,0.22816395392950972,0.000846156602734377,1.5866752334117478e-06,0.09331479114440804,0.061748244552843105,0.15506303569725113,1.0232453055476171e-05,5.740275099697101e-08
32,0.22731779732677534,0.2266000054208819,0.000717791905893439,3.4905414106041294e-07,0.002480676159354281,0.01814707340488072,0.020627749564235,1.6921581289003686e-05,1.023316826831433e-07
33,0.22731779732677534,0.23037330301611914,0.0030555056893437904,2.0075862481111495e-06,0.0683427366947602,0.08047834628965955,0.14882108298441976,1.3489931721040666e-05,4.691949939683582e-08
34,0.22731779732677534,0.22818376527462356,0.0008659679478482118,1.2205350832606213e-06,0.07540582300709599,0.06195492200394512,0.13736074501104112,8.8856178172484e-06,3.667555503739095e-08
35,0.22731779732677534,0.2232097839906945,0.004108013336080851,3.4612356754281535e-06,0.04856189906834624,0.08078057293929389,0.12934247200764012,2.676024063637582e-05,1.2659904768952401e-07
36,0.22731779732677534,0.22713723053683926,0.00018056678993608188,8.722691509679002e-07,0.05200291444950962,0.036803702635925244,0.08880661708543486,9.822118887027854e-06,7.208018359960988e-08
37,0.22731779732677534,0.2270636038658595,0.00025419346091584694,5.104763888409572e-06,0.05959365238927532,0.07544848677925892,0.13504213916853425,3.780126647756049e-05,4.8073410141569184e-08
38,0.22731779732677534,0.2272551671139037,6.263021287164494e-05,8.231616422244153e-07,0.014212693286613863,0.046387328228068604,0.06060002151468247,1.3583520626720829e-05,7.323507134060492e-08
39,0.22731779732677534,0.229318121142625,0.002000323815849664,8.849456638017173e-07,0.014284967515393099,0.035575621452663436,0.049860588968056535,1.7748399730469743e-05,7.904751697651591e-08
40,0.22731779732677534,0.2298265506137543,0.002508753286978943,9.415340284267337e-07,0.03439023719245035,0.008165927880820711,0.04255616507327106,2.2124503624930672e-05,8.89260718395235e-08
41,0.22731779732677534,0.22233126329978087,0.004986534026994477,8.49370479871624e-06,0.08943782911400162,0.12423328623357502,0.21367111534757666,3.975130089483371e-05,6.13589108411361e-08
42,0.22731779732677534,0.2263736582260078,0.0009441391007675437,1.9282323177067175e-06,0.04156152018322706,0.04240560109186503,0.0839671212750921,2.2964135109377698e-05,8.947323237862292e-08
43,0.22731779732677534,0.22461776412071718,0.002700033206058161,2.154270184774834e-06,0.08403377423520082,0.10343895986051764,0.18747273409571846,1.1491112001785403e-05,1.0457947041686566e-07
44,0.22731779732677534,0.22674661459863532,0.0005711827281400239,2.1850733226213915e-06,0.037881673652221795,0.12981362918475886,0.16769530283698064,1.3030021030139031e-05,6.069677738196333e-08
45,0.22731779732677534,0.2319860477603732,0.004668250433597865,2.10601443166163e-06,0.05856626351511629,0.034655452043613866,0.09322171555873016,2.2591457570149845e-05,8.540730078721026e-08
46,0.22731779732677534,0.22117683379362074,0.006140963533154603,7.728097400539495e-06,0.12869232258893998,0.14637728215533208,0.27506960474427206,2.809506127630564e-05,5.305794559262722e-08
47,0.22731779732677534,0.22504273742743322,0.0022750598993421245,1.9024668663007548e-06,0.07824612170466683,0.06803600263720162,0.14628212434186844,1.3005463756149707e-05,6.462491342063004e-08
48,0.22731779732677534,0.2258281612287271,0.0014896360980482526,2.6892147285589575e-06,0.11857432374055249,0.16338009603216852,0.281954419772721,9.537764049688212e-06,5.511490286380649e-08
49,0.22731779732677534,0.22403474071465362,0.003283056612121721,1.1509934470057909e-06,0.008724387335914907,0.037364189656669766,0.04608857699258467,2.497350801676905e-05,7.817934744025479e-08
50,0.22731779732677534,0.22434662795254257,0.0029711693742327794,3.108758356033433e-07,0.004766026687858554,0.013498933220271347,0.018264959908129902,1.702034043146022e-05,1.3209469784669636e-07
51,0.22731779732677534,0.22755971658041502,0.00024191925363967193,2.1057047898539053e-06,0.08045554142662349,0.11709767016942785,0.19755321159605133,1.0658924615002279e-05,8.1283317854286e-08
52,0.22731779732677534,0.2286061554303086,0.0012883581035332548,3.3714141476142625e-07,0.01318210443024706,0.007536678619866552,0.020718783050113612,1.627225952151555e-05,6.658044071627955e-08
53,0.22731779732677534,0.2268940072084894,0.0004237901182859438,9.387570956538345e-07,0.04957574974076765,0.030847514447066463,0.08042326418783412,1.1672705716859516e-05,8.898142311863921e-08
54,0.22731779732677534,0.22668334551117975,0.0006344518155955992,2.523298410552681e-06,0.042508409822247364,0.055414363312369014,0.09792277313461638,2.576824909854067e-05,9.862401384452824e-08
55,0.22731779732677534,0.23042036645984726,0.003102569133071914,1.253050890789091e-06,0.032837455667171514,0.07817174761891042,0.11100920328608194,1.128781086339168e-05,7.207653851537543e-08
56,0.22731779732677534,0.23680812608042112,0.009490328753645777,6.7909683892872495e-06,0.08124239457124238,0.0900066904544611,0.17124908502570346,3.9655501740449974e-05,1.893526331286921e-07
