layer_name,num_weights,spearman_rho,p_value,importance_mean,importance_std,gender_mean,gender_std
features.14.conv.1.0,5184,0.8621983536631143,0.0,9.888683209862759e-10,2.700091348545704e-09,4.3244151237286485e-08,1.6103854879555904e-07
features.14.conv.2,92160,0.9391386112161565,0.0,4.3499435937869787e-10,1.4267982508637653e-09,2.0955631796516078e-08,1.0068706468690369e-07
features.15.conv.0.0,153600,nan,nan,2.055213150590066e-11,7.529100422270197e-11,9.720502328455687e-10,5.204456784538782e-09
features.15.conv.1.0,8640,0.9193189948837173,0.0,1.4770355094354585e-09,1.3984039739266532e-08,6.227955860260016e-08,5.6210669686336e-07
features.15.conv.2,153600,0.930623726576896,0.0,7.015657318698831e-11,3.284714349537587e-10,3.2133809310622196e-09,2.033663935919275e-08
features.16.conv.0.0,153600,nan,nan,2.4340180944977543e-11,9.435008609763696e-11,9.852633313552553e-10,4.653286236294636e-09
features.16.conv.1.0,8640,0.9165965140790913,0.0,1.0964176603639218e-09,1.5683424302136942e-08,4.217193531072331e-08,9.144874496796296e-07
features.16.conv.2,153600,0.937157802850151,0.0,6.046941252879791e-11,2.583658106827267e-10,2.491131964221125e-09,1.5361637398140467e-08
features.17.conv.0.0,153600,0.8870051805755049,0.0,3.2463278364668857e-11,1.1962028682024788e-10,1.4547657827520478e-09,7.461254636041879e-09
features.17.conv.1.0,8640,0.769753683209814,0.0,1.921263883864261e-10,2.4437278210107477e-09,6.373147919605386e-09,5.0177927875988465e-08
features.17.conv.2,307200,nan,nan,3.8179797947522955e-11,1.2870213683736827e-10,2.0164666877087268e-09,1.0099604897151292e-08
features.18.0,409600,nan,nan,1.3374389193663794e-12,2.106692634533749e-12,1.3628831941765248e-10,4.6364284634769034e-10
features.2.conv.0.0,1536,0.9903195061978259,0.0,6.052564023321104e-09,1.9367965666334198e-08,2.713633162782565e-07,8.750805022102194e-07
features.2.conv.1.0,864,0.9854767948881104,0.0,1.0256951595145096e-07,3.71530668683162e-07,2.9824680984594247e-06,1.1398446640058358e-05
features.2.conv.2,2304,0.9783849312443859,0.0,2.8171697131320023e-08,1.614457907660317e-07,9.350963956342613e-07,5.829078675086588e-06
features.3.conv.0.0,3456,0.9891708389957841,0.0,1.325942936591783e-09,4.349655634691597e-09,5.731746024435664e-08,1.906445930024642e-07
features.3.conv.1.0,1296,0.9842269353834505,0.0,8.204475445727862e-08,4.058587718328185e-07,3.434064859172594e-06,2.0144144312104122e-05
features.3.conv.2,3456,0.9700351894078458,0.0,1.2591687804140053e-08,1.0205270000335656e-07,3.832629766369193e-07,2.4183678484698016e-06
features.4.conv.0.0,3456,0.9863506076631268,0.0,4.134846913822068e-09,1.3851681531450012e-08,1.5716975589530986e-07,5.430999249940363e-07
features.4.conv.1.0,1296,0.9607991899819195,0.0,1.0493331006012951e-08,2.862749061394756e-08,3.1902672004896436e-07,8.894647418222928e-07
features.4.conv.2,4608,0.9774460166250323,0.0,1.1544695177855558e-08,4.0201450936501036e-08,3.377628878421112e-07,1.236107248730519e-06
features.5.conv.0.0,6144,0.9854780356174517,0.0,3.8393714888738416e-10,1.2691345501628941e-09,1.7846664595321208e-08,6.687803168677756e-08
features.5.conv.1.0,1728,0.9835081947887847,0.0,3.789103920192953e-08,2.6415736767495093e-07,9.464057970354378e-07,4.3262068154058855e-06
features.5.conv.2,6144,0.9784374178441327,0.0,2.1641912873140386e-09,9.607070624344518e-09,6.264861347527367e-08,2.5991993749375805e-07
features.6.conv.0.0,6144,0.9856748608658374,0.0,3.753410944304697e-10,1.4091930392974164e-09,1.4829208979037105e-08,4.672884062300304e-08
features.6.conv.1.0,1728,0.9820099047425976,0.0,1.9143407954652578e-08,1.1579122981689892e-07,6.932786688228808e-07,5.904852808353052e-06
features.6.conv.2,6144,0.9766480994276207,0.0,2.6729702030596643e-09,1.4694012169793743e-08,8.119940769160677e-08,5.861949792749482e-07
features.7.conv.0.0,6144,0.9774906244892212,0.0,2.049769026126372e-09,6.0986569198084e-09,7.51496072894934e-08,2.175351222444468e-07
features.7.conv.1.0,1728,0.9258742175059641,0.0,6.0443532794957745e-09,1.4756713424627303e-08,2.1524682838184897e-07,6.833547331833905e-07
features.7.conv.2,12288,0.9604267594047317,0.0,3.791428972099869e-09,1.1172997780144768e-08,1.173019937194015e-07,3.513955740641663e-07
features.8.conv.0.0,24576,nan,nan,6.823425070684352e-11,1.936612009654594e-10,3.167618076934082e-09,9.394571272980367e-09
features.8.conv.1.0,3456,0.977254482784219,0.0,7.937451409394613e-09,4.4309203185186375e-08,3.026298833024448e-07,3.009091062837192e-06
features.8.conv.2,24576,0.9611650043566123,0.0,2.1257901117865424e-10,9.077735101163815e-10,7.183131722825755e-09,3.190917251871238e-08
features.9.conv.0.0,24576,nan,nan,6.637826894058796e-11,2.0288312539740953e-10,2.8282863966196243e-09,7.68707602047831e-09
features.9.conv.1.0,3456,0.9742190808667175,0.0,3.4515262035743215e-09,1.748753609933161e-08,1.1835851487666971e-07,7.234454287192844e-07
features.9.conv.2,24576,0.9613663730958212,0.0,2.301113436935418e-10,1.0970628329603313e-09,6.983112328872078e-09,4.191416386111819e-08
