layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf
features.13.conv.1.0,features.13,126,0.22893262511892457,0.22834743935407956,-0.0005851857648450087,0.0005851857648450087,0.827492596248766,0.8277393879565647,0.0002467917077986215,0.0002467917077986215,1.1713542136249089e-08,4.600384954922543e-09
features.13.conv.1.0,features.13,127,0.22893262511892457,0.2351107472729458,0.006178122154021248,0.006178122154021248,0.827492596248766,0.8262092793682132,-0.0012833168805528317,0.0012833168805528317,5.115112244880038e-08,3.6174908069064315e-08
features.13.conv.1.0,features.13,128,0.22893262511892457,0.2318910692056204,0.0029584440866958217,0.0029584440866958217,0.827492596248766,0.8270483711747285,-0.00044422507403751865,0.00044422507403751865,4.475781967272496e-09,3.098569238690896e-08
features.13.conv.1.0,features.13,129,0.22893262511892457,0.2276261170952169,-0.0013065080237076587,0.0013065080237076587,0.827492596248766,0.8279368213228036,0.00044422507403751865,0.00044422507403751865,1.483952303260594e-07,2.035260932009564e-09
features.13.conv.1.0,features.13,130,0.22893262511892457,0.2326052598690432,0.003672634750118642,0.003672634750118642,0.827492596248766,0.8271964461994077,-0.00029615004935834577,0.00029615004935834577,1.2586542474934959e-08,9.6937813887088e-09
features.13.conv.1.0,features.13,131,0.22893262511892457,0.2274458555008722,-0.0014867696180523582,0.0014867696180523582,0.827492596248766,0.8278874629812438,0.00039486673247779436,0.00039486673247779436,1.3059397474535217e-07,2.2192540305443487e-09
features.13.conv.1.0,features.13,132,0.22893262511892457,0.22893262511892457,0.0,0.0,0.827492596248766,0.827492596248766,0.0,0.0,0.0,0.0
features.13.conv.1.0,features.13,133,0.22893262511892457,0.23465830689805486,0.005725681779130298,0.005725681779130298,0.827492596248766,0.8277393879565647,0.0002467917077986215,0.0002467917077986215,3.041458995767243e-08,1.4831408898241527e-07
features.13.conv.1.0,features.13,134,0.22893262511892457,0.22946342937743117,0.0005308042585066008,0.0005308042585066008,0.827492596248766,0.8275913129318855,9.871668311944859e-05,9.871668311944859e-05,1.0520493809451636e-08,5.0075706914398666e-09
features.13.conv.1.0,features.13,135,0.22893262511892457,0.22931423391688394,0.00038160879795937075,0.00038160879795937075,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,1.051802467344487e-08,7.253801240225677e-10
features.13.conv.1.0,features.13,136,0.22893262511892457,0.23008233496335703,0.0011497098444324672,0.0011497098444324672,0.827492596248766,0.8272951628825271,-0.00019743336623889718,0.00019743336623889718,1.8418663927377565e-08,1.549878107798275e-08
features.13.conv.1.0,features.13,137,0.22893262511892457,0.2263418086601096,-0.002590816458814954,0.002590816458814954,0.827492596248766,0.8272458045409674,-0.0002467917077986215,0.0002467917077986215,1.3370225815378944e-08,7.35609667623649e-09
features.13.conv.1.0,features.13,138,0.22893262511892457,0.22716948514868887,-0.0017631399702356942,0.0017631399702356942,0.827492596248766,0.828035538005923,0.0005429417571569672,0.0005429417571569672,2.6734399583006052e-08,5.249578816091116e-08
features.13.conv.1.0,features.13,139,0.22893262511892457,0.2278508094819265,-0.0010818156369980791,0.0010818156369980791,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,9.167218095740282e-09,1.1898262375353852e-08
features.13.conv.1.0,features.13,140,0.22893262511892457,0.230331806604686,0.0013991814857614304,0.0013991814857614304,0.827492596248766,0.825715695952616,-0.0017769002961500746,0.0017769002961500746,3.445794405365632e-08,4.87763246320716e-08
features.13.conv.1.0,features.13,141,0.22893262511892457,0.22855585290650368,-0.0003767722124208839,0.0003767722124208839,0.827492596248766,0.8278874629812438,0.00039486673247779436,0.00039486673247779436,4.283880272737406e-08,2.2337867000565836e-08
features.13.conv.1.0,features.13,142,0.22893262511892457,0.22905160611297085,0.00011898099404628049,0.00011898099404628049,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,3.343510801556704e-09,7.820343816966613e-10
features.13.conv.1.0,features.13,143,0.22893262511892457,0.22954060694085385,0.0006079818219292821,0.0006079818219292821,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,2.041192992408014e-08,1.4129266506790472e-08
features.13.conv.1.0,features.13,144,0.22893262511892457,0.2284995945282079,-0.00043303059071667094,0.00043303059071667094,0.827492596248766,0.8276900296150049,0.00019743336623889718,0.00019743336623889718,1.8734759521521482e-08,2.9505220211500927e-09
features.13.conv.1.0,features.13,145,0.22893262511892457,0.22575621917646593,-0.003176405942458632,0.003176405942458632,0.827492596248766,0.8266535044422507,-0.000839091806515313,0.000839091806515313,6.824714571251889e-09,5.94243444451692e-08
features.13.conv.1.0,features.13,146,0.22893262511892457,0.2318905016979952,0.002957876579070623,0.002957876579070623,0.827492596248766,0.8279368213228036,0.00044422507403751865,0.00044422507403751865,2.245337249462409e-08,6.528835916341791e-09
features.13.conv.1.0,features.13,147,0.22893262511892457,0.22871783973192464,-0.00021478538699992722,0.00021478538699992722,0.827492596248766,0.827492596248766,0.0,0.0,1.9952954843915904e-08,1.4828139688338737e-09
features.13.conv.1.0,features.13,148,0.22893262511892457,0.23130206890914584,0.002369443790221276,0.002369443790221276,0.827492596248766,0.8283316880552813,0.000839091806515313,0.000839091806515313,6.465332713645466e-09,1.9214873664408216e-08
features.13.conv.1.0,features.13,149,0.22893262511892457,0.22822201383134602,-0.0007106112875785442,0.0007106112875785442,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,3.249833113727618e-08,3.0868338163347886e-09
features.13.conv.1.0,features.13,150,0.22893262511892457,0.2266867365962543,-0.0022458885226702696,0.0022458885226702696,0.827492596248766,0.8276406712734452,0.00014807502467917288,0.00014807502467917288,8.2665991385511e-08,1.07234757185104e-09
features.13.conv.1.0,features.13,151,0.22893262511892457,0.22754706265983687,-0.0013855624590876914,0.0013855624590876914,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,1.0398582439563597e-08,2.6114044447689277e-08
features.13.conv.1.0,features.13,152,0.22893262511892457,0.2297277404729101,0.0007951153539855482,0.0007951153539855482,0.827492596248766,0.827492596248766,0.0,0.0,6.1530487371896925e-09,4.400859600350859e-09
features.13.conv.1.0,features.13,153,0.22893262511892457,0.2307275691171955,0.0017949439982709314,0.0017949439982709314,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,6.171828914602884e-08,7.547387020911955e-10
features.13.conv.1.0,features.13,154,0.22893262511892457,0.23333876442874946,0.004406139309824891,0.004406139309824891,0.827492596248766,0.8267028627838104,-0.0007897334649555887,0.0007897334649555887,4.501551842395202e-08,3.5618701182960066e-09
features.13.conv.1.0,features.13,155,0.22893262511892457,0.23080693007531972,0.0018743049563951508,0.0018743049563951508,0.827492596248766,0.8275913129318855,9.871668311944859e-05,9.871668311944859e-05,7.661106593559452e-08,1.697325086036372e-09
features.13.conv.1.0,features.13,156,0.22893262511892457,0.22981506282714428,0.0008824377082197188,0.0008824377082197188,0.827492596248766,0.8278381046396841,0.00034550839091807006,0.00034550839091807006,3.626060518513441e-08,4.3334000277006623e-10
features.13.conv.1.0,features.13,157,0.22893262511892457,0.23016641162073964,0.0012337865018150762,0.0012337865018150762,0.827492596248766,0.8275913129318855,9.871668311944859e-05,9.871668311944859e-05,2.6337485081739942e-08,1.3007489668703798e-09
features.13.conv.1.0,features.13,158,0.22893262511892457,0.2288680532839116,-6.457183501296093e-05,6.457183501296093e-05,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,2.483729133473389e-08,2.7767333182771026e-08
features.13.conv.1.0,features.13,159,0.22893262511892457,0.22886987534692563,-6.274977199893783e-05,6.274977199893783e-05,0.827492596248766,0.8271964461994077,-0.00029615004935834577,0.00029615004935834577,6.837934307668547e-08,4.7518512666377966e-09
features.13.conv.1.0,features.13,160,0.22893262511892457,0.23239199134946592,0.0034593662305413553,0.0034593662305413553,0.827492596248766,0.8271964461994077,-0.00029615004935834577,0.00029615004935834577,1.8703821069721016e-07,6.693321293049781e-09
features.13.conv.1.0,features.13,161,0.22893262511892457,0.22861006715799265,-0.00032255796093191846,0.00032255796093191846,0.827492596248766,0.8275913129318855,9.871668311944859e-05,9.871668311944859e-05,4.343413095853066e-08,1.8113837235711472e-09
features.13.conv.1.0,features.13,162,0.22893262511892457,0.22788502675183758,-0.0010475983670869826,0.0010475983670869826,0.827492596248766,0.828035538005923,0.0005429417571569672,0.0005429417571569672,1.9835955100688807e-08,4.116267243725602e-09
features.13.conv.1.0,features.13,163,0.22893262511892457,0.22906409228225322,0.00013146716332865238,0.00013146716332865238,0.827492596248766,0.8271964461994077,-0.00029615004935834577,0.00029615004935834577,3.906260559460861e-08,2.3200350057761554e-08
