layer_name,num_units,gap_y0_mean,gap_y1_mean,activation_gap_mean,activation_gap_max,mean_gradient_mean,mean_gradient_max,phi_mean,phi_max,top_unit_index
features.11.conv.0.0,384,0.02820159878711509,0.031296319205393046,0.05949791799250814,0.22604728546090438,5.81078347745939e-06,1.4704414244616508e-05,3.514476253245125e-07,2.112475791785002e-06,374
features.11.conv.1.0,384,0.0017065949229979253,0.001964957839932207,0.0036715527629301325,0.02401949466960132,7.113372671352406e-05,0.00018993721036960178,2.511729509379426e-07,1.8063526318774967e-06,329
features.11.conv.2,96,0.01838808767212548,0.022261904976148342,0.040649992648273826,0.20007437026840924,2.5958411719311565e-05,4.621100564752075e-05,1.0781486107493563e-06,9.245637854397617e-06,3
features.12.conv.0.0,576,0.014547861940524348,0.016787453164148786,0.031335315104673134,0.17131295459106657,6.259545202379205e-06,2.1416196053821042e-05,1.9801023467168192e-07,1.219358243468484e-06,171
features.12.conv.1.0,576,0.0010000833629165353,0.0011621806306064567,0.0021622639935229924,0.03257560301385498,6.187483268513227e-05,0.00024642898077219754,1.2893713238723026e-07,1.241109190414972e-06,84
features.12.conv.2,96,0.006349407201088953,0.008053951968107749,0.014403359169196701,0.04773879609772591,2.9471055934019792e-05,5.354743526580996e-05,4.2336076563048444e-07,1.2378188692702477e-06,62
features.13.conv.0.0,576,0.01607719071106768,0.018287682653020384,0.03436487336408806,0.1677221014277398,4.423154237601191e-06,1.4271483691066188e-05,1.4192609512236166e-07,9.674340186632658e-07,296
features.13.conv.1.0,576,0.0009780956246762042,0.0011605625385559294,0.002138658163232134,0.027273776255272913,5.807282746037233e-05,0.00026653991719524515,1.120541914986942e-07,1.3163666685533901e-06,117
features.13.conv.2,96,0.008620657432300822,0.011476584485858596,0.020097241918159415,0.05975425541024068,2.762584582793327e-05,5.505161373007687e-05,5.633013581278616e-07,2.0238204346064894e-06,22
features.14.conv.0.0,576,0.031001481661697233,0.037229873455211435,0.06823135511690867,0.3582117880897052,3.121954330851951e-06,1.3902381840677866e-05,2.1579411352545532e-07,1.9100010285642585e-06,252
features.14.conv.1.0,576,0.002268005811881745,0.0027505665044417946,0.00501857231632354,0.02908820746647496,0.0002040757516811184,0.0008127151630010337,9.544195483719524e-07,5.6742397343786374e-06,38
features.14.conv.2,160,0.02465290656711683,0.030764071627290956,0.05541697819440779,0.223145295103943,5.842301867186456e-05,0.00010250849298547062,3.2471687573028177e-06,1.541055468436285e-05,151
features.15.conv.0.0,960,0.014512996143465514,0.016664789500208627,0.03117778564367414,0.2044926990280929,2.1342766432078e-05,0.00011319435925119775,6.527788649668814e-07,6.079290159669542e-06,650
features.15.conv.1.0,960,0.0017184671318296624,0.0020333598903800125,0.003751827022209675,0.04600265107302854,0.00011574032624943999,0.0005897710020095619,4.5286969797927927e-07,1.2639031465077731e-05,861
features.15.conv.2,160,0.016304111655321078,0.021327897374205977,0.037632009029527055,0.12862982440455148,4.971465167218016e-05,0.0001312276488435708,1.8598003521438154e-06,9.45971705547057e-06,106
features.16.conv.0.0,960,0.022339128564082943,0.026829239300021606,0.04916836786410455,0.20788755979994422,1.165064118560333e-05,5.199276006097308e-05,5.522395376969497e-07,4.453716983147271e-06,344
features.16.conv.1.0,960,0.0022131412003673265,0.002695259226025959,0.0049084004263932855,0.03786265669714714,0.00011049460738374058,0.000797712128351385,4.993882182548728e-07,5.317372152043569e-06,241
features.16.conv.2,160,0.024446152786726336,0.03073246289052293,0.055178615677249264,0.17614121931062304,4.20446834155924e-05,0.00010197380900735077,2.3539616199335146e-06,1.2228173178621629e-05,136
features.17.conv.0.0,960,0.05268162185480144,0.06347623076954546,0.11615785262434691,0.5957727903736407,5.32489870360643e-06,3.0144440450248544e-05,6.231905718441363e-07,8.317055464501842e-06,364
features.17.conv.1.0,960,0.0012308705812450354,0.0015226333688869692,0.002753503950132005,0.03486720009613886,0.0006666386056906911,0.005354696347558151,8.820999659875291e-07,5.323886273519193e-06,146
features.17.conv.2,320,0.04321673070033064,0.054298183749052875,0.09751491444938351,0.33575145624919167,2.2514213978508088e-05,7.04709451460144e-05,2.0925810447049927e-06,9.552996971664337e-06,102
features.18.0,1280,0.06147011436529644,0.07583261600829923,0.13730273037359567,0.5702677198519968,4.344973559591218e-06,2.3209657320760083e-05,5.349047997227312e-07,4.419487601046959e-06,24
classifier.1,78,1.3130759613472134,1.5428512559181486,2.8559272172653616,9.953839408566123,9.287788762041643e-05,0.0036222376192046007,0.00017123783611277263,0.008297215205790512,5
