================================================================================
Channel Pruning Log
  iteration  : 15
  alpha      : 0.3000
  timestamp  : 2026-05-21 07:35:18
  remove_target  : 40509
  accum_removed  : 40835
  selected_channels : 187
  gamma             : 0.0100
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 874564
  model_sparsity : 61.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          3      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          0      172    89.6%
  features.6                192         36      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         68      258    67.2%
features.15                      243    -0.087685 2.190485e-07 3.913696e-08      329
features.15                      955    -0.087475 2.269493e-07 8.763661e-08      329
features.8                       203    -0.087330 4.966310e-08 4.511139e-08      137
features.8                       162    -0.086783 5.203642e-08 1.406341e-07      137
features.8                       341    -0.086020 4.819359e-08 1.857544e-08      137
features.15                      346    -0.085843 2.177875e-07 5.758931e-08      329
features.8                       349    -0.085813 4.834143e-08 2.794482e-08      137
features.16                       98    -0.085664 4.206349e-07 3.424163e-08      329
features.15                      439    -0.084307 2.083302e-07 2.447391e-08      329
features.8                       310    -0.084078 4.979514e-08 1.141453e-07      137
features.8                       246    -0.083890 4.823835e-08 6.230063e-08      137
features.16                      515    -0.083868 4.125907e-07 4.926992e-08      329
features.15                       75    -0.083778 2.145547e-07 6.777659e-08      329
features.8                       234    -0.083681 4.924383e-08 1.023212e-07      137
features.16                       59    -0.083450 4.093808e-07 2.548431e-08      329
features.15                      255    -0.082567 2.332816e-07 1.926972e-07      329
features.15                       36    -0.082250 2.008425e-07 1.000959e-08      329
features.15                       54    -0.082177 2.214493e-07 1.298968e-07      329
features.15                      328    -0.082137 2.105698e-07 6.769698e-08      329
features.16                      662    -0.082042 4.053840e-07 8.438581e-08      329
features.15                      730    -0.082013 2.002209e-07 9.737469e-09      329
features.16                      447    -0.081988 4.036330e-07 5.409101e-08      329
features.8                        22    -0.081731 4.671977e-08 5.081558e-08      137
features.15                      158    -0.081649 2.082848e-07 6.133459e-08      329
features.15                       39    -0.081647 1.998671e-07 1.280934e-08      329
features.8                        49    -0.081571 4.583354e-08 2.234066e-08      137
features.8                       335    -0.081506 4.864281e-08 1.238902e-07      137
features.15                      708    -0.081362 1.998649e-07 1.677039e-08      329
features.15                      393    -0.081223 2.034717e-07 3.951907e-08      329
features.15                      564    -0.080842 2.137422e-07 1.040814e-07      329
features.16                      945    -0.080751 4.061007e-07 2.277871e-07      329
