layer,block,channel,baseline_eo_all,pruned_eo_all,delta_eo_all,delta_eo_all_abs,phi,perf
features.17.conv.1.0,features.17,485,0.17054892370443422,0.17068276249214476,0.00013383878771053292,0.00013383878771053292,6.615595538050911e-08,9.221056279651307e-10
features.17.conv.1.0,features.17,486,0.17054892370443422,0.1702021348264915,-0.00034678887794273305,0.00034678887794273305,2.458606047639478e-07,8.282875357812357e-10
features.17.conv.1.0,features.17,487,0.17054892370443422,0.17277985624533979,0.0022309325409055614,0.0022309325409055614,2.820747226905951e-07,2.7175487832264973e-09
features.17.conv.1.0,features.17,488,0.17054892370443422,0.17002450777491915,-0.0005244159295150763,0.0005244159295150763,1.1367748697921345e-07,8.228969068657666e-11
features.17.conv.1.0,features.17,489,0.17054892370443422,0.16929316327696461,-0.00125576042746961,0.00125576042746961,1.152917690205868e-07,1.6360118294811432e-10
features.17.conv.1.0,features.17,490,0.17054892370443422,0.17153456785138727,0.0009856441469530408,0.0009856441469530408,4.031929563552694e-07,2.6693424692858514e-09
features.17.conv.1.0,features.17,491,0.17054892370443422,0.17060099241097182,5.2068706537594656e-05,5.2068706537594656e-05,1.448075437338048e-07,2.5431071484782736e-10
features.17.conv.1.0,features.17,492,0.17054892370443422,0.1696384812746943,-0.0009104424297399216,0.0009104424297399216,3.798044474478957e-07,6.468742763665603e-10
features.17.conv.1.0,features.17,493,0.17054892370443422,0.1699419854018658,-0.0006069383025684161,0.0006069383025684161,3.336336931170081e-07,2.8539489174694843e-10
features.17.conv.1.0,features.17,494,0.17054892370443422,0.16897481578403997,-0.001574107920394252,0.001574107920394252,1.151379080965853e-07,8.35797181464315e-10
features.17.conv.1.0,features.17,495,0.17054892370443422,0.1689554171374657,-0.0015935065669685222,0.0015935065669685222,2.244532879558392e-07,1.3049814701071583e-09
features.17.conv.1.0,features.17,496,0.17054892370443422,0.16990415865368155,-0.0006447650507526714,0.0006447650507526714,7.720963424162619e-08,5.36802519102153e-10
features.17.conv.1.0,features.17,497,0.17054892370443422,0.17003975849663794,-0.000509165207796286,0.000509165207796286,1.3175461788250686e-07,2.1129540651865228e-10
features.17.conv.1.0,features.17,498,0.17054892370443422,0.17674080532499842,0.0061918816205641936,0.0061918816205641936,2.879639282582503e-07,1.58437579722559e-09
features.17.conv.1.0,features.17,499,0.17054892370443422,0.17002606957703703,-0.0005228541273971932,0.0005228541273971932,2.882816545479727e-07,2.3952617320133207e-10
features.17.conv.1.0,features.17,500,0.17054892370443422,0.16982583953689634,-0.0007230841675378852,0.0007230841675378852,1.573272783161883e-07,1.5891797738865066e-09
features.17.conv.1.0,features.17,501,0.17054892370443422,0.16987278245984422,-0.0006761412445900061,0.0006761412445900061,2.442704101213167e-07,1.1549931636101183e-09
features.17.conv.1.0,features.17,502,0.17054892370443422,0.16997505492611018,-0.0005738687783240493,0.0005738687783240493,3.442461604663549e-07,3.6269099182306697e-10
features.17.conv.1.0,features.17,503,0.17054892370443422,0.17055011385141391,1.190146979690443e-06,1.190146979690443e-06,2.540413674978481e-07,4.716464684084708e-10
features.17.conv.1.0,features.17,504,0.17054892370443422,0.1706358104358909,8.688673145668124e-05,8.688673145668124e-05,1.7046376399321161e-07,1.84243549236629e-10
features.17.conv.1.0,features.17,505,0.17054892370443422,0.17027073050629743,-0.00027819319813679466,0.00027819319813679466,4.4857236503048636e-07,4.5630146883191e-10
features.17.conv.1.0,features.17,506,0.17054892370443422,0.17039546973765615,-0.0001534539667780721,0.0001534539667780721,6.270619223869289e-08,1.222237727693809e-10
features.17.conv.1.0,features.17,507,0.17054892370443422,0.17010657869947401,-0.00044234500496020956,0.00044234500496020956,2.421212172976084e-07,4.2196621544143826e-10
features.17.conv.1.0,features.17,508,0.17054892370443422,0.17096706127882189,0.0004181375743876614,0.0004181375743876614,2.640269087805791e-07,4.1221953628323144e-10
features.17.conv.1.0,features.17,509,0.17054892370443422,0.1689151016121574,-0.001633822092276832,0.001633822092276832,3.186111996456021e-07,6.268842667189745e-10
features.17.conv.1.0,features.17,510,0.17054892370443422,0.17028665420637598,-0.00026226949805824296,0.00026226949805824296,1.5778037720792781e-07,2.792282238761601e-10
features.17.conv.1.0,features.17,511,0.17054892370443422,0.1700937708270083,-0.0004551528774259239,0.0004551528774259239,1.5230558858547738e-07,3.7466647839767825e-10
features.17.conv.1.0,features.17,512,0.17054892370443422,0.16895158365788668,-0.0015973400465475462,0.0015973400465475462,1.1644113584452499e-07,1.4200347217552254e-09
features.17.conv.1.0,features.17,513,0.17054892370443422,0.1707916017079918,0.00024267800355756708,0.00024267800355756708,2.130745286876845e-07,3.4411971328029974e-09
features.17.conv.1.0,features.17,514,0.17054892370443422,0.1679927944183882,-0.0025561292860460105,0.0025561292860460105,4.9382867928216e-07,1.2417029834899116e-09
features.17.conv.1.0,features.17,515,0.17054892370443422,0.16968987910168393,-0.0008590446027502974,0.0008590446027502974,3.609319207953377e-07,6.106355421309216e-10
features.17.conv.1.0,features.17,516,0.17054892370443422,0.17011280047212846,-0.00043612323230576844,0.00043612323230576844,1.3546379307172174e-07,8.427598688354188e-10
features.17.conv.1.0,features.17,517,0.17054892370443422,0.17011091790310973,-0.00043800580132449807,0.00043800580132449807,8.045438448789356e-08,6.196508757494446e-11
features.17.conv.1.0,features.17,518,0.17054892370443422,0.1701462755374584,-0.0004026481669758275,0.0004026481669758275,1.7368783744586838e-07,7.410260859791461e-10
features.17.conv.1.0,features.17,519,0.17054892370443422,0.16827542647667276,-0.002273497227761462,0.002273497227761462,5.694840297110204e-07,9.33890409449134e-10
features.17.conv.1.0,features.17,520,0.17054892370443422,0.16725736106148664,-0.003291562642947582,0.003291562642947582,8.552202643841156e-07,7.961421660818147e-10
features.17.conv.1.0,features.17,521,0.17054892370443422,0.17003775355690992,-0.0005111701475243036,0.0005111701475243036,7.105419541630908e-08,1.5537099731788295e-10
features.17.conv.1.0,features.17,522,0.17054892370443422,0.17488004516029554,0.004331121455861314,0.004331121455861314,2.1365515578963826e-07,4.362128852575253e-10
features.17.conv.1.0,features.17,523,0.17054892370443422,0.1701897723574795,-0.00035915134695471695,0.00035915134695471695,1.370073050566134e-07,2.428814909610777e-10
features.17.conv.1.0,features.17,524,0.17054892370443422,0.17109494850653797,0.0005460248021037506,0.0005460248021037506,2.873904350053636e-07,6.456158316292536e-10
features.17.conv.1.0,features.17,525,0.17054892370443422,0.1707749386816758,0.00022601497724156205,0.00022601497724156205,1.278562393736138e-07,1.0241807194000252e-09
