================================================================================
Channel Pruning Log
  iteration  : 15
  alpha      : 0.3000
  timestamp  : 2026-05-22 10:47:45
  remove_target  : 40607
  accum_removed  : 40871
  selected_channels : 143
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 875502
  model_sparsity : 61.8%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       86    89.6%
  features.3                144          4      129    89.6%
  features.4                144          0      129    89.6%
  features.5                192          4      152    79.2%
  features.6                192          0      172    89.6%
  features.7                192          0      172    89.6%
  features.8                384         12      109    28.4%
features.8                       242    -0.155863 1.416003e-07 5.374777e-08      137
features.15                      305    -0.155405 1.576527e-07 1.027447e-07      329
features.16                      956    -0.155129 3.818441e-07 4.745788e-08      329
features.15                      455    -0.155126 1.565980e-07 8.031420e-08      329
features.16                      220    -0.154949 3.791024e-07 2.738108e-08      329
features.16                      489    -0.154913 3.764345e-07 4.906918e-09      329
features.15                      236    -0.154821 1.545497e-07 3.001536e-08      329
features.16                      107    -0.154792 3.795820e-07 3.488510e-08      329
features.16                      290    -0.153457 3.743336e-07 1.737047e-08      329
features.15                      868    -0.153287 1.522672e-07 8.078347e-09      329
features.15                      624    -0.153285 1.541389e-07 6.205364e-08      329
features.15                      227    -0.153090 1.720085e-07 5.825582e-07      329
features.8                       289    -0.152864 1.419690e-07 1.015730e-07      137
features.15                      332    -0.152744 1.558147e-07 1.257965e-07      329
features.15                      662    -0.152486 1.520353e-07 2.428578e-08      329
features.11                       77    -0.152430 2.562016e-07 7.194040e-08      169
features.15                      635    -0.151131 1.524879e-07 7.602783e-08      329
features.8                       283    -0.150891 1.871444e-07 8.428228e-07      137
features.11                      153    -0.150603 2.598147e-07 1.606847e-07      169
features.15                      208    -0.150352 1.626804e-07 3.919743e-07      329
features.15                      142    -0.149656 1.510960e-07 7.806138e-08      329
features.16                      657    -0.149231 3.678663e-07 5.035675e-08      329
features.8                       376    -0.148849 1.334300e-07 2.292755e-08      137
features.16                       51    -0.148444 3.610428e-07 7.559703e-09      329
features.15                      944    -0.148206 1.484501e-07 4.324268e-08      329
features.15                       54    -0.148112 1.539538e-07 2.045254e-07      329
features.15                      548    -0.147507 1.524970e-07 1.798231e-07      329
features.11                       60    -0.146789 2.727966e-07 4.189018e-07      169
features.16                      398    -0.146776 3.566885e-07 4.883021e-09      329
features.16                      135    -0.146449 3.557300e-07 3.443753e-09      329
features.15                      780    -0.145537 1.506714e-07 1.835001e-07      329
features.16                      507    -0.145442 3.533453e-07 3.938137e-09      329
features.15                      639    -0.145178 1.481008e-07 1.196943e-07      329
features.15                      255    -0.144848 1.514188e-07 2.247250e-07      329
features.8                       197    -0.144765 1.301919e-07 2.897702e-08      137
features.15                      950    -0.144717 1.515262e-07 2.315756e-07      329
features.16                      126    -0.144707 3.515081e-07 3.489294e-09      329
features.16                      496    -0.144660 3.518123e-07 7.112265e-09      329
features.16                      726    -0.144177 3.514104e-07 1.382271e-08      329
features.15                      229    -0.143851 1.460979e-07 9.990384e-08      329
features.16                      319    -0.143773 3.612020e-07 1.076560e-07      329
features.15                      380    -0.143610 1.438572e-07 4.221512e-08      329
features.16                      747    -0.143603 3.578305e-07 8.189338e-08      329
features.16                      547    -0.143319 3.531438e-07 4.706599e-08      329
