layer,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,phi,perf
features.6.conv.1.0,90,0.22893262511892457,0.22816120568148843,-0.0007714194374361383,0.0007714194374361383,7.0376056093834904e-09,5.3649028330937654e-08
features.6.conv.1.0,91,0.22893262511892457,0.22823760559887882,-0.0006950195200457476,0.0006950195200457476,5.800985469761599e-09,5.3319254789130355e-08
features.6.conv.1.0,92,0.22893262511892457,0.23106352105080238,0.0021308959318778187,0.0021308959318778187,3.257634517694896e-08,2.6488256921197717e-08
features.6.conv.1.0,93,0.22893262511892457,0.2298837333534582,0.0009511082345336208,0.0009511082345336208,4.887118265628487e-09,1.460646159578971e-09
features.6.conv.1.0,94,0.22893262511892457,0.22700169051130548,-0.0019309346076190892,0.0019309346076190892,2.6566841171415945e-08,5.2760178448352235e-08
features.6.conv.1.0,95,0.22893262511892457,0.22988754655793492,0.0009549214390103533,0.0009549214390103533,1.707616625878927e-08,2.4670088194511663e-08
features.6.conv.1.0,96,0.22893262511892457,0.23133643025911615,0.0024038051401915894,0.0024038051401915894,2.517361252785122e-08,5.7624454541382875e-08
features.6.conv.1.0,97,0.22893262511892457,0.2308880662314422,0.0019554411125176363,0.0019554411125176363,1.9112325944092845e-08,1.7931730766918008e-08
features.6.conv.1.0,98,0.22893262511892457,0.22907217456464327,0.00013954944571870076,0.00013954944571870076,2.3304970397930447e-08,3.830085404388228e-08
features.6.conv.1.0,99,0.22893262511892457,0.2274031570229481,-0.001529468095976455,0.001529468095976455,7.033677196233157e-09,3.353957254148554e-07
features.6.conv.1.0,100,0.22893262511892457,0.22754317676124858,-0.0013894483576759875,0.0013894483576759875,2.196357584693942e-08,2.4859639680130385e-08
features.6.conv.1.0,101,0.22893262511892457,0.22891331387694652,-1.9311241978042792e-05,1.9311241978042792e-05,5.113814260937488e-09,2.8860503320515818e-08
features.6.conv.1.0,102,0.22893262511892457,0.228083387916329,-0.0008492372025955541,0.0008492372025955541,1.0978535414096768e-08,9.525330746384952e-09
features.6.conv.1.0,103,0.22893262511892457,0.22816928796387853,-0.0007633371550460344,0.0007633371550460344,2.0933195177263997e-09,2.7533129109968968e-09
features.6.conv.1.0,104,0.22893262511892457,0.22801114017203009,-0.0009214849468944797,0.0009214849468944797,4.9334198948258745e-09,1.5864624458572507e-07
