================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 7
  prune_ratio  : 0.162408 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:37:31
  t_score      : 62.1s (그룹별 점수 pass)
  t_greedy     : 12.5s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1941536 / 1903324
  sparsity_all        : 13.18% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 16.24% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  features.8.conv.0.0              Y     24576     21112     20584     20584      528      (0.437,0.563)      (0.437,0.563)     40772
  features.8.conv.1.0              Y      3456      2968      2894      2894       74      (0.444,0.556)      (0.444,0.556)      5718
  features.8.conv.2                Y     24576     21112     20584     20584      528      (0.448,0.552)      (0.448,0.552)     40692
  features.9.conv.0.0              Y     24576     21112     20584     20584      528      (0.435,0.565)      (0.435,0.565)     40824
  features.9.conv.1.0              Y      3456      2968      2894      2894       74      (0.446,0.554)      (0.446,0.554)      5720
  features.9.conv.2                Y     24576     21112     20584     20584      528      (0.449,0.551)      (0.449,0.551)     40698
  features.10.conv.0.0             Y     24576     21112     20584     20584      528      (0.436,0.564)      (0.436,0.564)     40802
  features.10.conv.1.0             Y      3456      2968      2894      2894       74      (0.440,0.560)      (0.440,0.560)      5731
  features.10.conv.2               Y     24576     21112     20584     20584      528      (0.449,0.551)      (0.449,0.551)     40751
  features.11.conv.0.0             Y     24576     21112     20584     20584      528      (0.434,0.566)      (0.434,0.566)     40829
  features.11.conv.1.0             Y      3456      2968      2894      2894       74      (0.451,0.549)      (0.451,0.549)      5697
  features.11.conv.2               Y     36864     31668     30876     30876      792      (0.445,0.555)      (0.445,0.555)     60949
  features.12.conv.0.0             Y     55296     47503     46315     46315     1188      (0.431,0.569)      (0.431,0.569)     91909
  features.12.conv.1.0             Y      5184      4453      4342      4342      111      (0.445,0.555)      (0.445,0.555)      8564
  features.12.conv.2               Y     55296     47503     46315     46315     1188      (0.444,0.556)      (0.444,0.556)     91291
  features.13.conv.0.0             Y     55296     47503     46315     46315     1188      (0.436,0.564)      (0.436,0.564)     91800
  features.13.conv.1.0             Y      5184      4453      4342      4342      111      (0.451,0.549)      (0.451,0.549)      8571
  features.13.conv.2               Y     55296     47503     46315     46315     1188      (0.450,0.550)      (0.450,0.550)     90456
  features.14.conv.0.0             Y     55296     47503     46315     46315     1188      (0.440,0.560)      (0.440,0.560)     91488
  features.14.conv.1.0             Y      5184      4453      4342      4342      111      (0.426,0.574)      (0.426,0.574)      8523
  features.14.conv.2               Y     92160     79171     77192     77192     1979      (0.447,0.553)      (0.447,0.553)    151176
  features.15.conv.0.0             Y    153600    131952    128654    128654     3298      (0.425,0.575)      (0.425,0.575)    254371
  features.15.conv.1.0             Y      8640      7422      7236      7236      186      (0.449,0.551)      (0.449,0.551)     13413
  features.15.conv.2               Y    153600    131952    128654    128654     3298      (0.446,0.554)      (0.446,0.554)    249075
  features.16.conv.0.0             Y    153600    131952    128654    128654     3298      (0.426,0.574)      (0.426,0.574)    253994
  features.16.conv.1.0             Y      8640      7422      7236      7236      186      (0.448,0.552)      (0.448,0.552)     13759
  features.16.conv.2               Y    153600    131952    128654    128654     3298      (0.444,0.556)      (0.444,0.556)    247719
  features.17.conv.0.0             Y    153600    131952    128654    128654     3298      (0.435,0.565)      (0.435,0.565)    253501
  features.17.conv.1.0             Y      8640      7422      7236      7236      186      (0.431,0.569)      (0.431,0.569)     14211
  features.17.conv.2               Y    307200    263905    257308    257308     6597      (0.458,0.542)      (0.458,0.542)    257308
  features.18.0                    N    409600    409600    409600    409600        0      (0.407,0.593)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.442,0.558)                  -         0
