================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 54
  prune_ratio  : 0.745171 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:10:29
  t_score      : 60.6s (그룹별 점수 pass)
  t_greedy     : 4.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 878043 / 866417
  sparsity_all        : 60.48% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 74.52% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  features.6.conv.0.0              Y      6144      1605      1565      1565       40      (0.410,0.590)      (0.410,0.590)      3073
  features.6.conv.1.0              Y      1728       451       440       440       11      (0.392,0.608)      (0.392,0.608)       852
  features.6.conv.2                Y      6144      1605      1565      1565       40      (0.397,0.603)      (0.397,0.603)      2999
  features.7.conv.0.0              Y      6144      1605      1565      1565       40      (0.419,0.581)      (0.419,0.581)      3094
  features.7.conv.1.0              Y      1728       451       440       440       11      (0.402,0.598)      (0.402,0.598)       857
  features.7.conv.2                Y     12288      3211      3131      3131       80      (0.398,0.602)      (0.398,0.602)      6115
  features.8.conv.0.0              Y     24576      6423      6262      6262      161      (0.419,0.581)      (0.419,0.581)     12179
  features.8.conv.1.0              Y      3456       903       880       880       23      (0.400,0.600)      (0.400,0.600)      1699
  features.8.conv.2                Y     24576      6423      6262      6262      161      (0.402,0.598)      (0.402,0.598)     12217
  features.9.conv.0.0              Y     24576      6423      6262      6262      161      (0.414,0.586)      (0.414,0.586)     12271
  features.9.conv.1.0              Y      3456       903       880       880       23      (0.398,0.602)      (0.398,0.602)      1720
  features.9.conv.2                Y     24576      6423      6262      6262      161      (0.401,0.599)      (0.401,0.599)     12220
  features.10.conv.0.0             Y     24576      6423      6262      6262      161      (0.412,0.588)      (0.412,0.588)     12273
  features.10.conv.1.0             Y      3456       903       880       880       23      (0.405,0.595)      (0.405,0.595)      1693
  features.10.conv.2               Y     24576      6423      6262      6262      161      (0.400,0.600)      (0.400,0.600)     12233
  features.11.conv.0.0             Y     24576      6423      6262      6262      161      (0.411,0.589)      (0.411,0.589)     12295
  features.11.conv.1.0             Y      3456       903       880       880       23      (0.409,0.591)      (0.409,0.591)      1738
  features.11.conv.2               Y     36864      9634      9394      9394      240      (0.404,0.596)      (0.404,0.596)     18478
  features.12.conv.0.0             Y     55296     14452     14091     14091      361      (0.412,0.588)      (0.412,0.588)     27628
  features.12.conv.1.0             Y      5184      1354      1321      1321       33      (0.407,0.593)      (0.407,0.593)      2605
  features.12.conv.2               Y     55296     14452     14091     14091      361      (0.404,0.596)      (0.404,0.596)     27480
  features.13.conv.0.0             Y     55296     14452     14091     14091      361      (0.410,0.590)      (0.410,0.590)     27477
  features.13.conv.1.0             Y      5184      1354      1321      1321       33      (0.399,0.601)      (0.399,0.601)      2589
  features.13.conv.2               Y     55296     14452     14091     14091      361      (0.401,0.599)      (0.401,0.599)     27718
  features.14.conv.0.0             Y     55296     14452     14091     14091      361      (0.405,0.595)      (0.405,0.595)     27587
  features.14.conv.1.0             Y      5184      1354      1321      1321       33      (0.410,0.590)      (0.410,0.590)      2599
  features.14.conv.2               Y     92160     24087     23485     23485      602      (0.403,0.597)      (0.403,0.597)     46258
  features.15.conv.0.0             Y    153600     40145     39141     39141     1004      (0.406,0.594)      (0.406,0.594)     77257
  features.15.conv.1.0             Y      8640      2258      2201      2201       57      (0.400,0.600)      (0.400,0.600)      4357
  features.15.conv.2               Y    153600     40145     39141     39141     1004      (0.398,0.602)      (0.398,0.602)     77271
  features.16.conv.0.0             Y    153600     40145     39141     39141     1004      (0.400,0.600)      (0.400,0.600)     77280
  features.16.conv.1.0             Y      8640      2258      2201      2201       57      (0.398,0.602)      (0.398,0.602)      4332
  features.16.conv.2               Y    153600     40145     39141     39141     1004      (0.396,0.604)      (0.396,0.604)     77569
  features.17.conv.0.0             Y    153600     40145     39141     39141     1004      (0.401,0.599)      (0.401,0.599)     77583
  features.17.conv.1.0             Y      8640      2258      2201      2201       57      (0.393,0.607)      (0.393,0.607)      4351
  features.17.conv.2               Y    307200     80290     78283     78283     2007      (0.381,0.619)      (0.381,0.619)     78285
  features.18.0                    N    409600    409600    409600    409600        0      (0.411,0.589)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.391,0.609)                  -         0
