================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 85
  prune_ratio  : 0.883750 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:49:32
  t_score      : 61.7s (그룹별 점수 pass)
  t_greedy     : 3.0s (greedy 선택)
  total_params        : 2192320
  active_before/after : 625152 / 619835
  sparsity_all        : 71.73% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 88.38% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  features.7.conv.2                Y     12288      1465      1428      1428       37      (0.451,0.549)      (0.451,0.549)      2767
  features.8.conv.0.0              Y     24576      2930      2856      2856       74      (0.450,0.550)      (0.450,0.550)      5657
  features.8.conv.1.0              Y      3456       412       401       401       11      (0.444,0.556)      (0.444,0.556)       794
  features.8.conv.2                Y     24576      2930      2856      2856       74      (0.447,0.553)      (0.447,0.553)      5648
  features.9.conv.0.0              Y     24576      2930      2856      2856       74      (0.454,0.546)      (0.454,0.546)      5639
  features.9.conv.1.0              Y      3456       412       401       401       11      (0.453,0.547)      (0.453,0.547)       795
  features.9.conv.2                Y     24576      2930      2856      2856       74      (0.451,0.549)      (0.451,0.549)      5637
  features.10.conv.0.0             Y     24576      2930      2856      2856       74      (0.452,0.548)      (0.452,0.548)      5644
  features.10.conv.1.0             Y      3456       412       401       401       11      (0.455,0.545)      (0.455,0.545)       792
  features.10.conv.2               Y     24576      2930      2856      2856       74      (0.453,0.547)      (0.453,0.547)      5656
  features.11.conv.0.0             Y     24576      2930      2856      2856       74      (0.450,0.550)      (0.450,0.550)      5649
  features.11.conv.1.0             Y      3456       412       401       401       11      (0.452,0.548)      (0.452,0.548)       795
  features.11.conv.2               Y     36864      4395      4285      4285      110      (0.448,0.552)      (0.448,0.552)      8427
  features.12.conv.0.0             Y     55296      6592      6428      6428      164      (0.452,0.548)      (0.452,0.548)     12687
  features.12.conv.1.0             Y      5184       618       602       602       16      (0.451,0.549)      (0.451,0.549)      1186
  features.12.conv.2               Y     55296      6592      6428      6428      164      (0.450,0.550)      (0.450,0.550)     12756
  features.13.conv.0.0             Y     55296      6592      6428      6428      164      (0.449,0.551)      (0.449,0.551)     12739
  features.13.conv.1.0             Y      5184       618       602       602       16      (0.455,0.545)      (0.455,0.545)      1193
  features.13.conv.2               Y     55296      6592      6428      6428      164      (0.450,0.550)      (0.450,0.550)     12767
  features.14.conv.0.0             Y     55296      6592      6428      6428      164      (0.450,0.550)      (0.450,0.550)     12784
  features.14.conv.1.0             Y      5184       618       602       602       16      (0.447,0.553)      (0.447,0.553)      1182
  features.14.conv.2               Y     92160     10988     10713     10713      275      (0.452,0.548)      (0.452,0.548)     21177
  features.15.conv.0.0             Y    153600     18313     17855     17855      458      (0.450,0.550)      (0.450,0.550)     35473
  features.15.conv.1.0             Y      8640      1030      1004      1004       26      (0.454,0.546)      (0.454,0.546)      1925
  features.15.conv.2               Y    153600     18313     17855     17855      458      (0.450,0.550)      (0.450,0.550)     35429
  features.16.conv.0.0             Y    153600     18313     17855     17855      458      (0.450,0.550)      (0.450,0.550)     35427
  features.16.conv.1.0             Y      8640      1030      1004      1004       26      (0.452,0.548)      (0.452,0.548)      1992
  features.16.conv.2               Y    153600     18313     17855     17855      458      (0.448,0.552)      (0.448,0.552)     35532
  features.17.conv.0.0             Y    153600     18313     17855     17855      458      (0.445,0.555)      (0.445,0.555)     35464
  features.17.conv.1.0             Y      8640      1030      1004      1004       26      (0.448,0.552)      (0.448,0.552)      1988
  features.17.conv.2               Y    307200     36627     35711     35711      916      (0.444,0.556)      (0.444,0.556)     71128
  features.18.0                    N    409600    409600    409600    409600        0      (0.443,0.557)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.450,0.550)                  -         0
