================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 70
  prune_ratio  : 0.830049 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 02:01:57
  t_score      : 61.1s (그룹별 점수 pass)
  t_greedy     : 3.8s (greedy 선택)
  total_params        : 2192320
  active_before/after : 723141 / 715395
  sparsity_all        : 67.37% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 83.01% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  features.13.conv.1.0             Y      5184       903       881       881       22      (0.402,0.598)      (0.402,0.598)      1712
  features.13.conv.2               Y     55296      9638      9397      9397      241      (0.402,0.598)      (0.402,0.598)     18590
  features.14.conv.0.0             Y     55296      9638      9397      9397      241      (0.402,0.598)      (0.402,0.598)     18615
  features.14.conv.1.0             Y      5184       903       881       881       22      (0.401,0.599)      (0.401,0.599)      1746
  features.14.conv.2               Y     92160     16064     15662     15662      402      (0.401,0.599)      (0.401,0.599)     30997
  features.15.conv.0.0             Y    153600     26773     26104     26104      669      (0.400,0.600)      (0.400,0.600)     51440
  features.15.conv.1.0             Y      8640      1506      1468      1468       38      (0.395,0.605)      (0.395,0.605)      2901
  features.15.conv.2               Y    153600     26773     26104     26104      669      (0.397,0.603)      (0.397,0.603)     51611
  features.16.conv.0.0             Y    153600     26773     26104     26104      669      (0.397,0.603)      (0.397,0.603)     51500
  features.16.conv.1.0             Y      8640      1506      1468      1468       38      (0.397,0.603)      (0.397,0.603)      2911
  features.16.conv.2               Y    153600     26773     26104     26104      669      (0.396,0.604)      (0.396,0.604)     51736
  features.17.conv.0.0             Y    153600     26773     26104     26104      669      (0.400,0.600)      (0.400,0.600)     51721
  features.17.conv.1.0             Y      8640      1506      1468      1468       38      (0.395,0.605)      (0.395,0.605)      2912
  features.17.conv.2               Y    307200     53547     52208     52208     1339      (0.390,0.610)      (0.390,0.610)    102747
  features.18.0                    N    409600    409600    409600    409600        0      (0.401,0.599)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.394,0.606)                  -         0
