================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 62
  prune_ratio  : 0.791893 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:36:20
  t_score      : 61.8s (그룹별 점수 pass)
  t_greedy     : 4.3s (greedy 선택)
  total_params        : 2192320
  active_before/after : 792773 / 783285
  sparsity_all        : 64.27% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 79.19% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  features.6.conv.2                Y      6144      1311      1278      1278       33      (0.470,0.530)      (0.470,0.530)      2510
  features.7.conv.0.0              Y      6144      1311      1278      1278       33      (0.456,0.544)      (0.456,0.544)      2525
  features.7.conv.1.0              Y      1728       368       359       359        9      (0.461,0.539)      (0.461,0.539)       703
  features.7.conv.2                Y     12288      2622      2557      2557       65      (0.459,0.541)      (0.459,0.541)      5038
  features.8.conv.0.0              Y     24576      5245      5114      5114      131      (0.447,0.553)      (0.447,0.553)     10038
  features.8.conv.1.0              Y      3456       737       719       719       18      (0.446,0.554)      (0.446,0.554)      1413
  features.8.conv.2                Y     24576      5245      5114      5114      131      (0.451,0.549)      (0.451,0.549)     10072
  features.9.conv.0.0              Y     24576      5245      5114      5114      131      (0.447,0.553)      (0.447,0.553)     10098
  features.9.conv.1.0              Y      3456       737       719       719       18      (0.461,0.539)      (0.461,0.539)      1412
  features.9.conv.2                Y     24576      5245      5114      5114      131      (0.457,0.543)      (0.457,0.543)     10024
  features.10.conv.0.0             Y     24576      5245      5114      5114      131      (0.456,0.544)      (0.456,0.544)     10063
  features.10.conv.1.0             Y      3456       737       719       719       18      (0.460,0.540)      (0.460,0.540)      1376
  features.10.conv.2               Y     24576      5245      5114      5114      131      (0.462,0.538)      (0.462,0.538)     10015
  features.11.conv.0.0             Y     24576      5245      5114      5114      131      (0.447,0.553)      (0.447,0.553)     10039
  features.11.conv.1.0             Y      3456       737       719       719       18      (0.459,0.541)      (0.459,0.541)      1353
  features.11.conv.2               Y     36864      7868      7671      7671      197      (0.456,0.544)      (0.456,0.544)     15110
  features.12.conv.0.0             Y     55296     11802     11507     11507      295      (0.440,0.560)      (0.440,0.560)     22609
  features.12.conv.1.0             Y      5184      1106      1078      1078       28      (0.455,0.545)      (0.455,0.545)      2129
  features.12.conv.2               Y     55296     11802     11507     11507      295      (0.455,0.545)      (0.455,0.545)     22356
  features.13.conv.0.0             Y     55296     11802     11507     11507      295      (0.440,0.560)      (0.440,0.560)     22690
  features.13.conv.1.0             Y      5184      1106      1078      1078       28      (0.454,0.546)      (0.454,0.546)      2122
  features.13.conv.2               Y     55296     11802     11507     11507      295      (0.457,0.543)      (0.457,0.543)     22513
  features.14.conv.0.0             Y     55296     11802     11507     11507      295      (0.440,0.560)      (0.440,0.560)     22673
  features.14.conv.1.0             Y      5184      1106      1078      1078       28      (0.447,0.553)      (0.447,0.553)      2117
  features.14.conv.2               Y     92160     19670     19179     19179      491      (0.462,0.538)      (0.462,0.538)     36994
  features.15.conv.0.0             Y    153600     32784     31965     31965      819      (0.438,0.562)      (0.438,0.562)     63093
  features.15.conv.1.0             Y      8640      1844      1798      1798       46      (0.449,0.551)      (0.449,0.551)      3546
  features.15.conv.2               Y    153600     32784     31965     31965      819      (0.454,0.546)      (0.454,0.546)     62080
  features.16.conv.0.0             Y    153600     32784     31965     31965      819      (0.438,0.562)      (0.438,0.562)     63237
  features.16.conv.1.0             Y      8640      1844      1798      1798       46      (0.452,0.548)      (0.452,0.548)      3538
  features.16.conv.2               Y    153600     32784     31965     31965      819      (0.457,0.543)      (0.457,0.543)     62307
  features.17.conv.0.0             Y    153600     32784     31965     31965      819      (0.449,0.551)      (0.449,0.551)     63298
  features.17.conv.1.0             Y      8640      1844      1798      1798       46      (0.449,0.551)      (0.449,0.551)      3556
  features.17.conv.2               Y    307200     65569     63930     63930     1639      (0.448,0.552)      (0.448,0.552)    126854
  features.18.0                    N    409600    409600    409600    409600        0      (0.438,0.562)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.440,0.560)                  -         0
