================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 58
  prune_ratio  : 0.769714 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 01:23:42
  t_score      : 61.0s (그룹별 점수 pass)
  t_greedy     : 4.6s (greedy 선택)
  total_params        : 2192320
  active_before/after : 833255 / 822734
  sparsity_all        : 62.47% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 76.97% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  features.14.conv.1.0             Y      5184      1224      1193      1193       31      (0.381,0.619)      (0.381,0.619)      2350
  features.14.conv.2               Y     92160     21767     21223     21223      544      (0.377,0.623)      (0.377,0.623)     41109
  features.15.conv.0.0             Y    153600     36278     35371     35371      907      (0.389,0.611)      (0.389,0.611)     69778
  features.15.conv.1.0             Y      8640      2040      1989      1989       51      (0.375,0.625)      (0.375,0.625)      3859
  features.15.conv.2               Y    153600     36278     35371     35371      907      (0.373,0.627)      (0.373,0.627)     69734
  features.16.conv.0.0             Y    153600     36278     35371     35371      907      (0.377,0.623)      (0.377,0.623)     68933
  features.16.conv.1.0             Y      8640      2040      1989      1989       51      (0.362,0.638)      (0.362,0.638)      3893
  features.16.conv.2               Y    153600     36278     35371     35371      907      (0.369,0.631)      (0.369,0.631)     69827
  features.17.conv.0.0             Y    153600     36278     35371     35371      907      (0.380,0.620)      (0.380,0.620)     69771
  features.17.conv.1.0             Y      8640      2040      1989      1989       51      (0.369,0.631)      (0.369,0.631)      3945
  features.17.conv.2               Y    307200     72557     70743     70743     1814      (0.357,0.643)      (0.357,0.643)     70745
  features.18.0                    N    409600    409600    409600    409600        0      (0.395,0.605)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.367,0.633)                  -         0
