================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 19
  prune_ratio  : 0.381859 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 23:17:10
  t_score      : 62.1s (그룹별 점수 pass)
  t_greedy     : 9.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 1541060 / 1512856
  sparsity_all        : 30.99% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 38.19% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  features.14.conv.0.0             Y     55296     35057     34180     34180      877      (0.386,0.614)      (0.386,0.614)     66996
  features.14.conv.1.0             Y      5184      3286      3204      3204       82      (0.380,0.620)      (0.380,0.620)      6199
  features.14.conv.2               Y     92160     58428     56967     56967     1461      (0.372,0.628)      (0.372,0.628)    111657
  features.15.conv.0.0             Y    153600     97381     94946     94946     2435      (0.377,0.623)      (0.377,0.623)    185982
  features.15.conv.1.0             Y      8640      5477      5340      5340      137      (0.378,0.622)      (0.378,0.622)     10300
  features.15.conv.2               Y    153600     97381     94946     94946     2435      (0.374,0.626)      (0.374,0.626)    185695
  features.16.conv.0.0             Y    153600     97381     94946     94946     2435      (0.377,0.623)      (0.377,0.623)    185753
  features.16.conv.1.0             Y      8640      5477      5340      5340      137      (0.386,0.614)      (0.386,0.614)     10388
  features.16.conv.2               Y    153600     97381     94946     94946     2435      (0.381,0.619)      (0.381,0.619)    185953
  features.17.conv.0.0             Y    153600     97381     94946     94946     2435      (0.377,0.623)      (0.377,0.623)    187530
  features.17.conv.1.0             Y      8640      5477      5340      5340      137      (0.379,0.621)      (0.379,0.621)     10374
  features.17.conv.2               Y    307200    194762    189892    189892     4870      (0.380,0.620)      (0.380,0.620)    372926
  features.18.0                    N    409600    409600    409600    409600        0      (0.367,0.633)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.377,0.623)                  -         0
