================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 4
  prune_ratio  : 0.096312 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-08 22:27:35
  t_score      : 61.2s (그룹별 점수 pass)
  t_greedy     : 14.2s (greedy 선택)
  total_params        : 2192320
  active_before/after : 2062156 / 2020934
  sparsity_all        : 7.82% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 9.63% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  features.9.conv.1.0              Y      3456      3203      3123      3123       80      (0.413,0.587)      (0.413,0.587)      6206
  features.9.conv.2                Y     24576     22778     22209     22209      569      (0.410,0.590)      (0.410,0.590)     44216
  features.10.conv.0.0             Y     24576     22778     22209     22209      569      (0.409,0.591)      (0.409,0.591)     44193
  features.10.conv.1.0             Y      3456      3203      3123      3123       80      (0.412,0.588)      (0.412,0.588)      6206
  features.10.conv.2               Y     24576     22778     22209     22209      569      (0.417,0.583)      (0.417,0.583)     44167
  features.11.conv.0.0             Y     24576     22778     22209     22209      569      (0.406,0.594)      (0.406,0.594)     44204
  features.11.conv.1.0             Y      3456      3203      3123      3123       80      (0.421,0.579)      (0.421,0.579)      6209
  features.11.conv.2               Y     36864     34167     33313     33313      854      (0.410,0.590)      (0.410,0.590)     66273
  features.12.conv.0.0             Y     55296     51251     49970     49970     1281      (0.407,0.593)      (0.407,0.593)     99416
  features.12.conv.1.0             Y      5184      4804      4684      4684      120      (0.407,0.593)      (0.407,0.593)      9315
  features.12.conv.2               Y     55296     51251     49970     49970     1281      (0.412,0.588)      (0.412,0.588)     99448
  features.13.conv.0.0             Y     55296     51251     49970     49970     1281      (0.408,0.592)      (0.408,0.592)     99422
  features.13.conv.1.0             Y      5184      4804      4684      4684      120      (0.409,0.591)      (0.409,0.591)      9312
  features.13.conv.2               Y     55296     51251     49970     49970     1281      (0.411,0.589)      (0.411,0.589)     99230
  features.14.conv.0.0             Y     55296     51251     49970     49970     1281      (0.401,0.599)      (0.401,0.599)     99409
  features.14.conv.1.0             Y      5184      4804      4684      4684      120      (0.422,0.578)      (0.422,0.578)      9209
  features.14.conv.2               Y     92160     85419     83283     83283     2136      (0.399,0.601)      (0.399,0.601)    165687
  features.15.conv.0.0             Y    153600    142365    138806    138806     3559      (0.397,0.603)      (0.397,0.603)    275977
  features.15.conv.1.0             Y      8640      8008      7807      7807      201      (0.396,0.604)      (0.396,0.604)     15477
  features.15.conv.2               Y    153600    142365    138806    138806     3559      (0.396,0.604)      (0.396,0.604)    275921
  features.16.conv.0.0             Y    153600    142365    138806    138806     3559      (0.395,0.605)      (0.395,0.605)    275901
  features.16.conv.1.0             Y      8640      8008      7807      7807      201      (0.397,0.603)      (0.397,0.603)     15450
  features.16.conv.2               Y    153600    142365    138806    138806     3559      (0.394,0.606)      (0.394,0.606)    275328
  features.17.conv.0.0             Y    153600    142365    138806    138806     3559      (0.398,0.602)      (0.398,0.602)    275765
  features.17.conv.1.0             Y      8640      8008      7807      7807      201      (0.400,0.600)      (0.400,0.600)     15409
  features.17.conv.2               Y    307200    284731    277612    277612     7119      (0.381,0.619)      (0.381,0.619)    552057
  features.18.0                    N    409600    409600    409600    409600        0      (0.384,0.616)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.387,0.613)                  -         0
