================================================================================
FairGRAPE-orig Weight Pruning Log (impt_type=4)
  dataset      : UTKFace
  seed         : 42
  iteration    : 91
  prune_ratio  : 0.900000 (누적, 레이어별 keep_target = int(numel × (1 − prune_ratio)))
  FG_ORIG_MODE : clean
  fg_scope     : blocks (50 layers)
  para_batch   : 1
  delta_p      : 0
  timestamp    : 2026-09-09 03:08:29
  t_score      : 61.1s (그룹별 점수 pass)
  t_greedy     : 2.9s (greedy 선택)
  total_params        : 2192320
  active_before/after : 595237 / 590921
  sparsity_all        : 73.05% (Conv2d+Linear 전체 대비)
  sparsity_scope      : 90.00% (범위 레이어 numel 대비)
================================================================================

[ 레이어별 greedy 선택 현황 ]
  (target_prop: dense/현재 모델의 그룹별 중요도 점유율, selected_prop: greedy 종료 시 선택된 가중치의 그룹별 점유율.
   clean 모드면 두 값이 근접해야 정상. picks: greedy 루프 반복 횟수(중복 픽 포함). scope=N 은 범위 밖 레이어)
  layer                        scope     numel    active  keep_tgt      kept  removed        target_prop      selected_prop     picks
  features.12.conv.2               Y     55296      5663      5529      5529      134      (0.497,0.503)      (0.497,0.503)     10878
  features.13.conv.0.0             Y     55296      5663      5529      5529      134      (0.489,0.511)      (0.489,0.511)     10894
  features.13.conv.1.0             Y      5184       530       518       518       12      (0.494,0.506)      (0.494,0.506)      1029
  features.13.conv.2               Y     55296      5663      5529      5529      134      (0.497,0.503)      (0.497,0.503)     10940
  features.14.conv.0.0             Y     55296      5663      5529      5529      134      (0.492,0.508)      (0.492,0.508)     10934
  features.14.conv.1.0             Y      5184       530       518       518       12      (0.497,0.503)      (0.497,0.503)      1020
  features.14.conv.2               Y     92160      9439      9215      9215      224      (0.495,0.505)      (0.495,0.505)      9215
  features.15.conv.0.0             Y    153600     15732     15359     15359      373      (0.484,0.516)      (0.484,0.516)     30265
  features.15.conv.1.0             Y      8640       884       863       863       21      (0.490,0.510)      (0.490,0.510)      1709
  features.15.conv.2               Y    153600     15732     15359     15359      373      (0.496,0.504)      (0.496,0.504)     15359
  features.16.conv.0.0             Y    153600     15732     15359     15359      373      (0.483,0.517)      (0.483,0.517)     30550
  features.16.conv.1.0             Y      8640       884       863       863       21      (0.498,0.502)      (0.498,0.502)      1651
  features.16.conv.2               Y    153600     15732     15359     15359      373      (0.502,0.498)      (0.502,0.498)     15361
  features.17.conv.0.0             Y    153600     15732     15359     15359      373      (0.499,0.501)      (0.499,0.501)     15387
  features.17.conv.1.0             Y      8640       884       863       863       21      (0.507,0.493)      (0.507,0.493)      1245
  features.17.conv.2               Y    307200     31465     30719     30719      746      (0.505,0.495)      (0.505,0.495)     48039
  features.18.0                    N    409600    409600    409600    409600        0      (0.484,0.516)                  -         0
  classifier.1                     N      2560      2560      2560      2560        0      (0.504,0.496)                  -         0
