iter,block,ch,status,score,phi_raw,perf_raw,phi_n,perf_n,weights,perf_rank_n,perf_max_n,phi_rank_n,phi_max_n,score_rank,score_rank_a0.3,score_rank_a0.5,score_rank_a0.7,score_rank_a0.9,score_max,score_max_a0.3,score_max_a0.5,score_max_a0.7,score_max_a0.9
23,features.15,172,active,-0.273494,4.470049e-08,2.293995e-07,0.6024,0.494,329,0.4939759036144578,0.014283004973970816,0.6024096385542169,0.15493905277471312,-0.27349397590361446,-0.27349397590361446,-0.054216867469879554,0.16506024096385533,0.3843373493975904,-0.10417243545010794,-0.10417243545010794,-0.07032802390037116,-0.036483612350634374,-0.0026392008008975735
23,features.15,188,active,-0.33494,9.619129e-08,1.307035e-06,0.8554,0.8795,329,0.8795180722891566,0.08137937269328811,0.8554216867469879,0.33341440681696627,-0.33493975903614454,-0.33493975903614454,0.01204819277108432,0.3590361445783131,0.7060240963855422,-0.20897627296388993,-0.20897627296388993,-0.12601751706183908,-0.04305876115978821,0.03989999474226268
23,features.15,192,active,-0.157831,3.926155e-08,5.311414e-07,0.5663,0.7952,329,0.7951807228915663,0.03307023449520083,0.5662650602409639,0.1360868162176083,-0.15783132530120486,-0.15783132530120486,0.11445783132530118,0.3867469879518072,0.6590361445783133,-0.08533970100376555,-0.08533970100376555,-0.05150829086120373,-0.017676880718641912,0.01615452942391992
23,features.15,205,active,-0.215663,3.345727e-08,1.517868e-07,0.4578,0.3494,329,0.3493975903614458,0.00945063794551912,0.4578313253012048,0.11596825274684519,-0.21566265060240958,-0.21566265060240958,-0.0542168674698795,0.10722891566265058,0.2686746987951808,-0.0783425855391359,-0.0783425855391359,-0.053258807400663036,-0.02817502926219018,-0.0030912511237173087
23,features.15,213,pruned_now,-0.433735,2.189861e-07,1.095683e-06,0.9759,0.8313,329,0.8313253012048193,0.06822005165179203,0.9759036144578314,0.7590408719194935,-0.43373493975903615,-0.43373493975903615,-0.07228915662650603,0.28915662650602403,0.6506024096385542,-0.5108625948481078,-0.5108625948481078,-0.34541041013385076,-0.17995822541959366,-0.014506040705336516
23,features.15,224,active,-0.363855,5.250854e-08,2.126333e-07,0.7108,0.4458,329,0.4457831325301205,0.013239098086664656,0.7108433734939759,0.1820030037743017,-0.3638554216867469,-0.3638554216867469,-0.1325301204819277,0.0987951807228915,0.3301204819277109,-0.12343037321601179,-0.12343037321601179,-0.08438195284381853,-0.04533353247162526,-0.0062851120994319755
23,features.15,232,active,-0.357831,6.088884e-08,2.819681e-07,0.759,0.5783,329,0.5783132530120482,0.017556061694995413,0.7590361445783133,0.21105046486405546,-0.35783132530120476,-0.35783132530120476,-0.09036144578313254,0.17710843373493967,0.444578313253012,-0.1424685068963402,-0.1424685068963402,-0.09674720158453003,-0.051025896272719855,-0.005304590960909666
23,features.15,236,active,-0.126506,1.907934e-08,1.501244e-08,0.253,0.1687,329,0.1686746987951807,0.0009347132630691804,0.25301204819277107,0.06613204614013617,-0.1265060240963855,-0.1265060240963855,-0.04216867469879518,0.04216867469879515,0.12650602409638553,-0.04601201831917456,-0.04601201831917456,-0.03259866643853349,-0.019185314557892425,-0.0057719626772513525
23,features.15,237,active,-0.061446,1.002222e-08,1.889416e-09,0.1084,0.0482,329,0.04819277108433735,0.00011763991693922629,0.10843373493975904,0.03473861860350491,-0.061445783132530116,-0.061445783132530116,-0.030120481927710843,0.0012048192771084293,0.032530120481927716,-0.024281741047371668,-0.024281741047371668,-0.01731048934328284,-0.010339237639194017,-0.003367985935105187
23,features.15,246,active,-0.318072,1.017951e-07,3.193388e-06,0.8675,0.9639,329,0.963855421686747,0.1988285793465928,0.8674698795180723,0.35283810918196196,-0.3180722891566265,-0.3180722891566265,0.04819277108433734,0.4144578313253011,0.7807228915662651,-0.1873381026233955,-0.1873381026233955,-0.07700476491768458,0.03332857278802634,0.14366191049373733
