================================================================================
Channel Pruning Log
  iteration  : 14
  alpha      : 0.3000
  timestamp  : 2026-06-03 03:09:28
  remove_target  : 45072
  accum_removed  : 45266
  selected_channels : 138
  gamma             : 0.0050
  remove_target_met : yes
  total_params   : 2289600
  active_after   : 915759
  model_sparsity : 60.0%
================================================================================

[ 레이어별 채널 제거 비율 ]
  layer                total_ch  this_iter    cumul  cumul_%
  ----------------------------------------------------------
  features.1                 32          0       24    75.0%
  features.2                 96          0       93    96.9%
  features.3                144          0      118    81.9%
  features.4                144          5      130    90.3%
  features.5                192          0      148    77.1%
  features.6                192          0      150    78.1%
  features.7                192          0      186    96.9%
  features.8                384         19      345    89.8%
features.15                      107    -0.222436 3.138220e-07 4.970586e-07      329
features.15                      397    -0.222340 3.140208e-07 5.826132e-07      329
features.15                      512    -0.221955 3.129157e-07 4.376263e-07      329
features.15                      126    -0.221609 3.146843e-07 1.015923e-06      329
features.15                      943    -0.221072 3.106640e-07 1.777081e-07      329
features.15                      471    -0.221029 3.116455e-07 4.449843e-07      329
features.15                      381    -0.219319 3.075807e-07 1.736547e-08      329
features.15                      105    -0.219110 3.073551e-07 3.456353e-08      329
features.15                       54    -0.218572 3.120169e-07 1.424072e-06      329
features.15                      924    -0.218482 3.068301e-07 1.256416e-07      329
features.15                       48    -0.216129 3.034678e-07 1.093597e-07      329
features.15                      949    -0.215783 3.036009e-07 2.682945e-07      329
features.15                      677    -0.214853 3.055418e-07 1.100501e-06      329
features.15                      439    -0.214668 3.010550e-07 1.595432e-08      329
features.16                      475    -0.214295 9.713534e-07 2.831618e-07      329
features.15                      175    -0.214185 3.003642e-07 1.252211e-08      329
features.15                       11    -0.214007 3.003576e-07 7.497540e-08      329
features.16                       68    -0.213634 9.665723e-07 1.836610e-07      329
features.15                      330    -0.213547 3.006396e-07 3.126445e-07      329
features.8                       266    -0.213472 3.954223e-08 6.822720e-07      137
features.12                      407    -0.213229 5.533208e-08 2.140851e-06      201
features.15                      892    -0.213048 3.089134e-07 2.615014e-06      329
features.15                      432    -0.212270 2.979017e-07 6.979104e-08      329
features.16                       22    -0.209998 9.555572e-07 4.812659e-07      329
features.17                      920    -0.209834 1.749288e-06 1.504577e-07      489
features.17                      821    -0.207190 1.770525e-06 2.399908e-07      489
features.15                      800    -0.207040 2.912507e-07 2.448404e-07      329
features.8                       241    -0.205864 4.096496e-08 1.315091e-06      137
features.15                      229    -0.205293 2.915394e-07 9.472566e-07      329
features.15                      214    -0.205274 2.882752e-07 1.167765e-07      329
features.15                      648    -0.205021 2.910929e-07 9.304985e-07      329
features.16                      519    -0.203797 9.284707e-07 5.294726e-07      329
features.15                      274    -0.200397 2.815719e-07 1.510646e-07      329
features.15                      922    -0.199084 2.808146e-07 4.293976e-07      329
features.8                        83    -0.198815 3.918132e-08 1.181661e-06      137
features.8                       166    -0.195863 3.504047e-08 3.382225e-07      137
features.15                       86    -0.194188 2.725247e-07 6.354942e-08      329
features.8                       152    -0.193814 3.537616e-08 4.976580e-07      137
features.17                      799    -0.193029 1.569069e-06 5.365827e-08      489
