layer,block,channel,baseline_eo_all,pruned_eo_all,delta_eo_all,delta_eo_all_abs,phi,perf
features.11.conv.1.0,features.11,124,0.17054892370443422,0.17195566949158017,0.0014067457871459466,0.0014067457871459466,4.6741462256250095e-08,9.107941985053714e-07
features.11.conv.1.0,features.11,125,0.17054892370443422,0.17565978932693835,0.005110865622504124,0.005110865622504124,2.2959472545380777e-08,2.3948260458039883e-08
features.11.conv.1.0,features.11,126,0.17054892370443422,0.17244998915156998,0.0019010654471357524,0.0019010654471357524,9.472709905367085e-08,2.1012585005308893e-08
features.11.conv.1.0,features.11,127,0.17054892370443422,0.17342656724654762,0.002877643542113395,0.002877643542113395,2.9052579009203328e-08,1.9781290772069585e-08
features.11.conv.1.0,features.11,128,0.17054892370443422,0.17073945112645347,0.00019052742201924877,0.00019052742201924877,1.6797100599319492e-08,1.836448965120141e-09
features.11.conv.1.0,features.11,129,0.17054892370443422,0.16730105028241624,-0.0032478734220179883,0.0032478734220179883,1.383983487812657e-07,3.001272552705103e-08
features.11.conv.1.0,features.11,130,0.17054892370443422,0.17231057683428366,0.0017616531298494387,0.0017616531298494387,2.33173224728489e-07,8.39983447242787e-08
features.11.conv.1.0,features.11,131,0.17054892370443422,0.17256874842219166,0.00201982471775744,0.00201982471775744,8.026525932791628e-08,5.142863646057094e-08
features.11.conv.1.0,features.11,132,0.17054892370443422,0.1706424056746572,9.34819702229639e-05,9.34819702229639e-05,9.527507671691636e-09,1.9129666600781192e-09
features.11.conv.1.0,features.11,133,0.17054892370443422,0.17179735498469503,0.0012484312802608089,0.0012484312802608089,1.761178403114627e-08,6.252902529091386e-08
features.11.conv.1.0,features.11,134,0.17054892370443422,0.16843351475730942,-0.0021154089471248083,0.0021154089471248083,1.6743604192015482e-07,7.379237276783357e-09
features.11.conv.1.0,features.11,135,0.17054892370443422,0.17290300378252846,0.002354080078094234,0.002354080078094234,5.994004226295148e-08,1.8968046022749266e-07
features.11.conv.1.0,features.11,136,0.17054892370443422,0.16762983098094233,-0.0029190927234918895,0.0029190927234918895,2.9184107575019883e-08,1.3836533446776045e-08
features.11.conv.1.0,features.11,137,0.17054892370443422,0.1696027623937462,-0.0009461613106880318,0.0009461613106880318,1.429491902626978e-07,2.7989152995289146e-08
features.11.conv.1.0,features.11,138,0.17054892370443422,0.17276528741444966,0.0022163637100154343,0.0022163637100154343,9.067147743735404e-08,4.580977552848253e-08
features.11.conv.1.0,features.11,139,0.17054892370443422,0.16922602903800546,-0.0013228946664287644,0.0013228946664287644,9.01647254636373e-08,9.417006885392709e-08
features.11.conv.1.0,features.11,140,0.17054892370443422,0.17037506717059037,-0.00017385653384385802,0.00017385653384385802,1.474292048442294e-07,2.706616514247528e-09
features.11.conv.1.0,features.11,141,0.17054892370443422,0.17052443093733846,-2.449276709576287e-05,2.449276709576287e-05,1.0307202558124119e-07,1.8585037953045003e-09
features.11.conv.1.0,features.11,142,0.17054892370443422,0.171076749951419,0.000527826246984775,0.000527826246984775,1.8449047445301406e-07,4.830180944104257e-08
features.11.conv.1.0,features.11,143,0.17054892370443422,0.170863796121431,0.00031487241699676427,0.00031487241699676427,4.5470368803535166e-08,1.87097393411495e-08
features.11.conv.1.0,features.11,144,0.17054892370443422,0.17059129068673487,4.236698230064562e-05,4.236698230064562e-05,1.1135633570802385e-07,5.001424108197483e-09
features.11.conv.1.0,features.11,145,0.17054892370443422,0.17358969964733487,0.003040775942900642,0.003040775942900642,4.1358219959874987e-08,8.350295477299596e-08
features.11.conv.1.0,features.11,146,0.17054892370443422,0.17680028380468682,0.006251360100252595,0.006251360100252595,1.997444343260213e-07,2.3572146679029518e-07
features.11.conv.1.0,features.11,147,0.17054892370443422,0.17024100953777924,-0.00030791416665498783,0.00030791416665498783,3.9095734649663434e-08,4.711211087915501e-09
features.11.conv.1.0,features.11,148,0.17054892370443422,0.16895706510755665,-0.0015918585968775767,0.0015918585968775767,8.427409881051062e-08,7.362483644968165e-08
features.11.conv.1.0,features.11,149,0.17054892370443422,0.1693593023966102,-0.001189621307824018,0.001189621307824018,1.0997344190855075e-07,1.2123195691771116e-07
features.11.conv.1.0,features.11,150,0.17054892370443422,0.17136154713366883,0.0008126234292346046,0.0008126234292346046,1.5307162470890034e-07,7.977979554762982e-09
features.11.conv.1.0,features.11,151,0.17054892370443422,0.1704277471759765,-0.00012117652845772264,0.00012117652845772264,6.051707401866224e-08,2.4963835776325997e-08
features.11.conv.1.0,features.11,152,0.17054892370443422,0.16986154016935828,-0.0006873835350759416,0.0006873835350759416,8.907153414838832e-08,2.1536776251274148e-09
features.11.conv.1.0,features.11,153,0.17054892370443422,0.16959467577570636,-0.0009542479287278638,0.0009542479287278638,1.1932809229620034e-07,4.8934489238483536e-08
features.11.conv.1.0,features.11,154,0.17054892370443422,0.17180568400786628,0.001256760303432053,0.001256760303432053,5.7752867377303125e-08,8.358337355574008e-09
features.11.conv.1.0,features.11,155,0.17054892370443422,0.17025026169828422,-0.00029866200615000227,0.00029866200615000227,3.5694665001528854e-08,5.1683003099434195e-08
features.11.conv.1.0,features.11,156,0.17054892370443422,0.17035452412645663,-0.00019439957797759422,0.00019439957797759422,2.3856486564000082e-08,5.920250972790698e-08
features.11.conv.1.0,features.11,157,0.17054892370443422,0.171055704503087,0.0005067807986527673,0.0005067807986527673,8.501613990574698e-08,7.352546696481886e-09
features.11.conv.1.0,features.11,158,0.17054892370443422,0.17141999955875112,0.0008710758543168939,0.0008710758543168939,9.304588388658885e-08,4.40851410932197e-09
features.11.conv.1.0,features.11,159,0.17054892370443422,0.1726710084516959,0.0021220847472616655,0.0021220847472616655,1.729033840547345e-07,1.1274544131634201e-07
features.11.conv.1.0,features.11,160,0.17054892370443422,0.16950191760195432,-0.0010470061024799027,0.0010470061024799027,4.1678806184108914e-08,2.694022618876524e-08
features.11.conv.1.0,features.11,161,0.17054892370443422,0.1700488276575999,-0.0005000960468343196,0.0005000960468343196,1.5511857043293278e-07,1.2003970417673318e-07
features.11.conv.1.0,features.11,162,0.17054892370443422,0.1730002403727535,0.00245131666831927,0.00245131666831927,6.094853688409786e-08,1.7582446554254005e-08
features.11.conv.1.0,features.11,163,0.17054892370443422,0.17173370680544292,0.0011847831010086962,0.0011847831010086962,3.018995755610377e-07,8.8273787834936e-08
features.11.conv.1.0,features.11,164,0.17054892370443422,0.17053658202654584,-1.2341677888383362e-05,1.2341677888383362e-05,4.0634525078075974e-08,4.864958519368301e-09
features.11.conv.1.0,features.11,165,0.17054892370443422,0.16969682899455715,-0.0008520947098770715,0.0008520947098770715,5.7848449586117574e-08,1.8662058931528946e-07
features.11.conv.1.0,features.11,166,0.17054892370443422,0.1691630761188797,-0.0013858475855545171,0.0013858475855545171,1.1321814952225397e-07,4.3401183313918075e-08
features.11.conv.1.0,features.11,167,0.17054892370443422,0.1732760791626167,0.002727155458182473,0.002727155458182473,4.5829068540115265e-08,1.5079218484981285e-07
features.11.conv.1.0,features.11,168,0.17054892370443422,0.1714866832179446,0.0009377595135103833,0.0009377595135103833,8.878825497049547e-08,5.40705471507863e-08
features.11.conv.1.0,features.11,169,0.17054892370443422,0.17011570413382973,-0.0004332195706044928,0.0004332195706044928,3.011914202488697e-07,5.273924630344595e-09
features.11.conv.1.0,features.11,170,0.17054892370443422,0.1684625369915067,-0.002086386712927518,0.002086386712927518,8.036793275323363e-08,3.4456075992395085e-08
features.11.conv.1.0,features.11,171,0.17054892370443422,0.1701663237117193,-0.0003825999927149215,0.0003825999927149215,2.3457141651306301e-07,2.9144166191485965e-07
features.11.conv.1.0,features.11,172,0.17054892370443422,0.16885432427219146,-0.0016945994322427604,0.0016945994322427604,1.657971182567053e-07,2.153995830589395e-07
features.11.conv.1.0,features.11,173,0.17054892370443422,0.17053799715224696,-1.0926552187262573e-05,1.0926552187262573e-05,1.4088499256104114e-07,1.95937316371797e-08
features.11.conv.1.0,features.11,174,0.17054892370443422,0.17059744227890228,4.8518574468053854e-05,4.8518574468053854e-05,1.2042583819038557e-07,1.254666592842568e-09
features.11.conv.1.0,features.11,175,0.17054892370443422,0.17001582755850883,-0.0005330961459253936,0.0005330961459253936,5.6744514864703894e-08,1.5405649256283738e-08
features.11.conv.1.0,features.11,176,0.17054892370443422,0.16520295525848722,-0.005345968445947008,0.005345968445947008,1.0361445390572045e-07,2.3447932340214805e-07
features.11.conv.1.0,features.11,177,0.17054892370443422,0.1701622028331128,-0.000386720871321411,0.000386720871321411,1.061970920090971e-07,3.921434016396219e-08
features.11.conv.1.0,features.11,178,0.17054892370443422,0.1682750502132369,-0.0022738734911973146,0.0022738734911973146,8.61745803604208e-08,1.1903544105962285e-07
features.11.conv.1.0,features.11,179,0.17054892370443422,0.1714363593259771,0.0008874356215428647,0.0008874356215428647,2.6205174918914054e-08,6.916126782385845e-09
features.11.conv.1.0,features.11,180,0.17054892370443422,0.16891443813331258,-0.001634485571121641,0.001634485571121641,9.579029125461602e-08,4.3534949423218456e-08
features.11.conv.1.0,features.11,181,0.17054892370443422,0.17088229764312438,0.0003333739386901513,0.0003333739386901513,5.6669396286679337e-08,1.0521595461554513e-07
features.11.conv.1.0,features.11,182,0.17054892370443422,0.1705387777459703,-1.0145958463936289e-05,1.0145958463936289e-05,7.494667642049535e-08,1.8361453468784814e-09
features.11.conv.1.0,features.11,183,0.17054892370443422,0.1707083246009121,0.00015940089647786815,0.00015940089647786815,1.453674229878743e-07,3.876774412603368e-08
features.11.conv.1.0,features.11,184,0.17054892370443422,0.17096729914492692,0.0004183754404926965,0.0004183754404926965,4.361917760320466e-08,6.517229381164391e-09
features.11.conv.1.0,features.11,185,0.17054892370443422,0.1672640083933162,-0.0032849153111180196,0.0032849153111180196,8.123395645043274e-08,2.482162511086017e-07
features.11.conv.1.0,features.11,186,0.17054892370443422,0.17078807431209383,0.0002391506076596106,0.0002391506076596106,2.8596423007343222e-08,5.409061143435423e-09
features.11.conv.1.0,features.11,187,0.17054892370443422,0.17032292418175146,-0.0002259995226827627,0.0002259995226827627,7.561558845736728e-08,4.4430774837067595e-08
features.11.conv.1.0,features.11,188,0.17054892370443422,0.17097107318020016,0.0004221494757659372,0.0004221494757659372,9.90940449696609e-08,5.59133661592881e-08
features.11.conv.1.0,features.11,189,0.17054892370443422,0.16936794597936594,-0.001180977725068283,0.001180977725068283,5.8474991959656115e-08,1.915587011236397e-08
features.11.conv.1.0,features.11,190,0.17054892370443422,0.17293370627488852,0.002384782570454297,0.002384782570454297,1.7141420016741907e-07,8.07203202057849e-08
features.11.conv.1.0,features.11,191,0.17054892370443422,0.17175748833728002,0.0012085646328457988,0.0012085646328457988,1.2604331800503132e-07,2.8889025216471964e-07
features.11.conv.1.0,features.11,192,0.17054892370443422,0.17023593236956602,-0.0003129913348682012,0.0003129913348682012,7.20559327760384e-08,2.499196238847645e-09
features.11.conv.1.0,features.11,193,0.17054892370443422,0.17310192866325388,0.00255300495881966,0.00255300495881966,5.5215064520552914e-08,2.0163814840046257e-08
features.11.conv.1.0,features.11,194,0.17054892370443422,0.17437427246083115,0.0038253487563969235,0.0038253487563969235,1.8267976997776716e-07,5.547666104277482e-09
features.11.conv.1.0,features.11,195,0.17054892370443422,0.17730567274901374,0.006756749044579513,0.006756749044579513,7.484430142312705e-08,8.37670232067822e-08
features.11.conv.1.0,features.11,196,0.17054892370443422,0.16932741027390238,-0.0012215134305318398,0.0012215134305318398,1.1685172296438397e-07,1.1213600381587696e-08
features.11.conv.1.0,features.11,197,0.17054892370443422,0.17074520056956294,0.0001962768651287139,0.0001962768651287139,1.3487122885180725e-07,3.670517556564334e-09
features.11.conv.1.0,features.11,198,0.17054892370443422,0.17093205084578983,0.00038312714135560477,0.00038312714135560477,6.261822704800579e-08,4.148249987956376e-08
features.11.conv.1.0,features.11,199,0.17054892370443422,0.1697534865181216,-0.0007954371863126142,0.0007954371863126142,2.087865738076289e-07,2.609498470640404e-07
features.11.conv.1.0,features.11,200,0.17054892370443422,0.1744760845433417,0.003927160838907484,0.003927160838907484,1.388078914033031e-07,7.160532639050032e-09
features.11.conv.1.0,features.11,201,0.17054892370443422,0.17044764439685658,-0.0001012793075776397,0.0001012793075776397,3.029526141062888e-08,1.7247727968072724e-08
features.11.conv.1.0,features.11,202,0.17054892370443422,0.16915496638013294,-0.0013939573243012815,0.0013939573243012815,9.080552132445521e-08,7.745347363474764e-09
features.11.conv.1.0,features.11,203,0.17054892370443422,0.16941127334684156,-0.0011376503575926677,0.0011376503575926677,2.5587709728824848e-08,1.438136773557197e-08
features.11.conv.1.0,features.11,204,0.17054892370443422,0.1716326586380524,0.0010837349336181856,0.0010837349336181856,1.0594514066042393e-07,1.3308297019953841e-08
features.11.conv.1.0,features.11,205,0.17054892370443422,0.17154475091717533,0.0009958272127411072,0.0009958272127411072,4.0785995025771626e-08,4.484267956961219e-09
features.11.conv.1.0,features.11,206,0.17054892370443422,0.17566438763264094,0.0051154639282067205,0.0051154639282067205,5.5876078874916863e-08,3.3880359295856977e-08
features.11.conv.1.0,features.11,207,0.17054892370443422,0.17499128439203468,0.004442360687600455,0.004442360687600455,4.527394992237532e-08,4.910417021886104e-07
features.11.conv.1.0,features.11,208,0.17054892370443422,0.17649370961852343,0.005944785914089201,0.005944785914089201,1.4549459592672065e-07,1.7217400891667012e-06
features.11.conv.1.0,features.11,209,0.17054892370443422,0.17041990582717326,-0.00012901787726096736,0.00012901787726096736,3.3952016309513056e-08,6.0104306670583085e-09
features.11.conv.1.0,features.11,210,0.17054892370443422,0.17147587259122657,0.0009269488867923448,0.0009269488867923448,6.740542346506119e-08,4.264883501914341e-08
features.11.conv.1.0,features.11,211,0.17054892370443422,0.17048903130675488,-5.989239767933974e-05,5.989239767933974e-05,3.8254047041164085e-08,3.176984134101168e-09
features.11.conv.1.0,features.11,212,0.17054892370443422,0.16971458326711597,-0.0008343404373182539,0.0008343404373182539,5.072578090903335e-08,7.721202122112913e-09
features.11.conv.1.0,features.11,213,0.17054892370443422,0.16876805530926714,-0.0017808683951670845,0.0017808683951670845,1.2350807310212988e-07,8.879120816374099e-08
features.11.conv.1.0,features.11,214,0.17054892370443422,0.17154017324011683,0.000991249535682609,0.000991249535682609,2.396151330685825e-07,6.47591860691854e-09
features.11.conv.1.0,features.11,215,0.17054892370443422,0.171449156058989,0.0009002323545547752,0.0009002323545547752,2.0034275394209547e-07,4.222798610786782e-09
features.11.conv.1.0,features.11,216,0.17054892370443422,0.17084728366943688,0.00029835996500265916,0.00029835996500265916,6.37402237657625e-08,1.6174821215741988e-07
features.11.conv.1.0,features.11,217,0.17054892370443422,0.1713260348244883,0.0007771111200540748,0.0007771111200540748,4.253526242337102e-08,1.2853047959282549e-08
features.11.conv.1.0,features.11,218,0.17054892370443422,0.1710946577557119,0.0005457340512776687,0.0005457340512776687,9.78734071566123e-09,9.518208013425957e-09
features.11.conv.1.0,features.11,219,0.17054892370443422,0.17199693963136803,0.0014480159269338044,0.0014480159269338044,9.575757076163428e-08,7.750875008483149e-08
features.11.conv.1.0,features.11,220,0.17054892370443422,0.16624538959213872,-0.004303534112295504,0.004303534112295504,1.129778581798746e-07,5.925103527815168e-07
features.11.conv.1.0,features.11,221,0.17054892370443422,0.171898384892579,0.0013494611881447738,0.0013494611881447738,1.004296450446418e-07,8.118699645898175e-08
features.11.conv.1.0,features.11,222,0.17054892370443422,0.16917014074970832,-0.0013787829547259045,0.0013787829547259045,1.1362349283672303e-07,1.0253671178794833e-07
features.11.conv.1.0,features.11,223,0.17054892370443422,0.1793447213845353,0.00879579768010108,0.00879579768010108,6.373046090857315e-08,5.2573517095311224e-08
features.11.conv.1.0,features.11,224,0.17054892370443422,0.16934758614823778,-0.0012013375561964468,0.0012013375561964468,4.166590628074118e-08,6.417225279498062e-07
features.11.conv.1.0,features.11,225,0.17054892370443422,0.1704044572340884,-0.0001444664703458276,0.0001444664703458276,3.6717622720061627e-07,1.2041408536944688e-08
features.11.conv.1.0,features.11,226,0.17054892370443422,0.1703409772968085,-0.00020794640762572536,0.00020794640762572536,1.0955759677244715e-07,1.6767959798436042e-08
features.11.conv.1.0,features.11,227,0.17054892370443422,0.16948511254883133,-0.0010638111556028895,0.0010638111556028895,7.840920801527319e-08,3.939334386471316e-09
features.11.conv.1.0,features.11,228,0.17054892370443422,0.17113570279246693,0.0005867790880327017,0.0005867790880327017,3.962585282124565e-08,7.880532892912129e-09
features.11.conv.1.0,features.11,229,0.17054892370443422,0.17077487846045863,0.00022595475602441017,0.00022595475602441017,2.5711557327667837e-08,1.3595691739087812e-08
features.11.conv.1.0,features.11,230,0.17054892370443422,0.1674285267888049,-0.00312039691562932,0.00312039691562932,4.5698538286842456e-08,2.2409369471176888e-08
features.11.conv.1.0,features.11,231,0.17054892370443422,0.17426176792429388,0.003712844219859651,0.003712844219859651,1.418447084233776e-07,1.5618026094621484e-07
features.11.conv.1.0,features.11,232,0.17054892370443422,0.17236729940067058,0.0018183756962363573,0.0018183756962363573,1.802424236529987e-07,4.433563327577161e-08
features.11.conv.1.0,features.11,233,0.17054892370443422,0.16807783816819283,-0.0024710855362413964,0.0024710855362413964,8.817152519213779e-08,1.4189987851409569e-08
features.11.conv.1.0,features.11,234,0.17054892370443422,0.17108089489129286,0.0005319711868586319,0.0005319711868586319,1.4715486429395241e-07,1.4969867923042557e-07
features.11.conv.1.0,features.11,235,0.17054892370443422,0.1728763954872654,0.0023274717828311864,0.0023274717828311864,2.3968555140641e-08,1.2858969913320806e-06
features.11.conv.1.0,features.11,236,0.17054892370443422,0.16923810639735618,-0.0013108173070780493,0.0013108173070780493,5.981544859423593e-08,9.53324263974764e-09
features.11.conv.1.0,features.11,237,0.17054892370443422,0.1715098508707324,0.00096092716629817,0.00096092716629817,7.487299313879704e-08,9.211387680396754e-08
features.11.conv.1.0,features.11,238,0.17054892370443422,0.17155188011908068,0.0010029564146464554,0.0010029564146464554,1.9190925115708526e-07,9.72168526791606e-08
features.11.conv.1.0,features.11,239,0.17054892370443422,0.1705077773047465,-4.114639968771927e-05,4.114639968771927e-05,5.239517264499227e-08,5.377432082953604e-09
features.11.conv.1.0,features.11,240,0.17054892370443422,0.17020395923349413,-0.00034496447094009564,0.00034496447094009564,1.1841362379527709e-07,2.8103038118842963e-08
features.11.conv.1.0,features.11,241,0.17054892370443422,0.17114898041417098,0.0006000567097367571,0.0006000567097367571,5.351089527039221e-08,4.8110217143459983e-08
features.11.conv.1.0,features.11,242,0.17054892370443422,0.16978920138382397,-0.000759722320610251,0.000759722320610251,5.113586354354994e-08,1.2520791736747585e-08
features.11.conv.1.0,features.11,243,0.17054892370443422,0.17573480336037473,0.005185879655940501,0.005185879655940501,3.9895812875556664e-08,3.7217944504064355e-08
features.11.conv.1.0,features.11,244,0.17054892370443422,0.17285152839267068,0.0023026046882364537,0.0023026046882364537,1.0247940451790782e-07,1.2662170367772065e-08
features.11.conv.1.0,features.11,245,0.17054892370443422,0.16928348330485796,-0.0012654403995762675,0.0012654403995762675,8.522552974454811e-08,1.4441680529220238e-07
features.11.conv.1.0,features.11,246,0.17054892370443422,0.16883053728526615,-0.0017183864191680776,0.0017183864191680776,1.228235362304986e-07,1.5619728621629747e-08
