layer,block,channel,baseline_eo,pruned_eo,delta_eo,delta_eo_abs,baseline_acc,pruned_acc,delta_acc,delta_acc_abs,phi,perf
features.2.conv.1.0,features.2,19,0.22893262511892457,0.24270170201303468,0.01376907689411011,0.01376907689411011,0.827492596248766,0.827492596248766,0.0,0.0,3.6897819910564074e-08,4.6516404950125445e-07
features.2.conv.1.0,features.2,20,0.22893262511892457,0.22481592601409206,-0.004116699104832505,0.004116699104832505,0.827492596248766,0.7993089832181639,-0.028183613030602128,0.028183613030602128,3.1997632277125376e-07,5.783468282061222e-07
features.2.conv.1.0,features.2,21,0.22893262511892457,0.22877933229422925,-0.00015329282469531136,0.00015329282469531136,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,4.109603768398529e-09,1.4288977467913358e-07
features.2.conv.1.0,features.2,22,0.22893262511892457,0.22854454463602944,-0.00038808048289512564,0.00038808048289512564,0.827492596248766,0.8268509378084896,-0.0006416584402764158,0.0006416584402764158,3.243687096698977e-09,1.3711857036469155e-06
features.2.conv.1.0,features.2,23,0.22893262511892457,0.22819127608691908,-0.0007413490320054839,0.0007413490320054839,0.827492596248766,0.8261599210266535,-0.001332675222112556,0.001332675222112556,3.822137273346016e-09,2.433821236991207e-06
features.2.conv.1.0,features.2,24,0.22893262511892457,0.23017474876768246,0.0012421236487578924,0.0012421236487578924,0.827492596248766,0.8262092793682132,-0.0012833168805528317,0.0012833168805528317,2.136690158138776e-09,1.6370125877074318e-07
features.2.conv.1.0,features.2,25,0.22893262511892457,0.230681666995271,0.0017490418763464466,0.0017490418763464466,0.827492596248766,0.8278874629812438,0.00039486673247779436,0.00039486673247779436,2.109633641111941e-07,2.302672186260679e-08
features.2.conv.1.0,features.2,26,0.22893262511892457,0.23294897829121577,0.004016353172291209,0.004016353172291209,0.827492596248766,0.8270483711747285,-0.00044422507403751865,0.00044422507403751865,2.4282320154611625e-08,7.014074299149797e-08
features.2.conv.1.0,features.2,27,0.22893262511892457,0.22727154314424364,-0.001661081974680928,0.001661081974680928,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,4.5445599283766576e-08,1.34732158763029e-09
features.2.conv.1.0,features.2,28,0.22893262511892457,0.2274742662859736,-0.001458358832950979,0.001458358832950979,0.827492596248766,0.8278381046396841,0.00034550839091807006,0.00034550839091807006,1.67764611092025e-07,3.2491701063008804e-07
features.2.conv.1.0,features.2,29,0.22893262511892457,0.23121010487691743,0.002277479757992862,0.002277479757992862,0.827492596248766,0.8279861796643633,0.000493583415597243,0.000493583415597243,4.091148309015581e-09,2.8955100788152777e-06
features.2.conv.1.0,features.2,30,0.22893262511892457,0.22800234632094452,-0.0009302787979800498,0.0009302787979800498,0.827492596248766,0.8270977295162882,-0.00039486673247779436,0.00039486673247779436,1.713009396553389e-07,1.145159345128377e-08
features.2.conv.1.0,features.2,31,0.22893262511892457,0.22925622616968558,0.0003236010507610132,0.0003236010507610132,0.827492596248766,0.8278874629812438,0.00039486673247779436,0.00039486673247779436,1.163107921087203e-08,3.257877096984885e-07
features.2.conv.1.0,features.2,32,0.22893262511892457,0.22660877344287184,-0.0023238516760527295,0.0023238516760527295,0.827492596248766,0.8272458045409674,-0.0002467917077986215,0.0002467917077986215,1.1366139140989162e-08,1.3873464865810092e-07
features.2.conv.1.0,features.2,33,0.22893262511892457,0.22635303949116203,-0.0025795856277625318,0.0025795856277625318,0.827492596248766,0.8222112537018756,-0.0052813425468903885,0.0052813425468903885,1.1569503044484009e-07,1.222382817189782e-08
features.2.conv.1.0,features.2,34,0.22893262511892457,0.23818895372420693,0.00925632860528236,0.00925632860528236,0.827492596248766,0.7579466929911155,-0.06954590325765053,0.06954590325765053,1.6105200018046165e-07,2.8697160203705607e-08
features.2.conv.1.0,features.2,35,0.22893262511892457,0.2265196250441653,-0.002413000074759253,0.002413000074759253,0.827492596248766,0.8277393879565647,0.0002467917077986215,0.0002467917077986215,7.675030389009407e-09,2.597719799268816e-07
features.2.conv.1.0,features.2,36,0.22893262511892457,0.22889378754119946,-3.883757772510377e-05,3.883757772510377e-05,0.827492596248766,0.8262586377097729,-0.0012339585389931074,0.0012339585389931074,2.0321277816037766e-07,1.6305246930414796e-08
features.2.conv.1.0,features.2,37,0.22893262511892457,0.22923167412692402,0.0002990490079994579,0.0002990490079994579,0.827492596248766,0.8270977295162882,-0.00039486673247779436,0.00039486673247779436,1.081611529230031e-07,7.819318526003372e-09
features.2.conv.1.0,features.2,38,0.22893262511892457,0.23058074268781387,0.0016481175688893013,0.0016481175688893013,0.827492596248766,0.8269496544916091,-0.0005429417571569672,0.0005429417571569672,4.0579792859318794e-09,1.948380713656661e-06
features.2.conv.1.0,features.2,39,0.22893262511892457,0.21870154316211354,-0.010231081956811022,0.010231081956811022,0.827492596248766,0.825715695952616,-0.0017769002961500746,0.0017769002961500746,1.1435229652079216e-07,4.731482761144434e-08
features.2.conv.1.0,features.2,40,0.22893262511892457,0.2286426046213498,-0.0002900204975747611,0.0002900204975747611,0.827492596248766,0.8274432379072063,-4.9358341559724295e-05,4.9358341559724295e-05,1.887581078108269e-07,7.978483651527313e-09
features.2.conv.1.0,features.2,41,0.22893262511892457,0.22228519392300689,-0.00664743119591768,0.00664743119591768,0.827492596248766,0.8283316880552813,0.000839091806515313,0.000839091806515313,1.3068658688553114e-07,1.7082773240417737e-07
features.2.conv.1.0,features.2,42,0.22893262511892457,0.22492018020829455,-0.00401244491063002,0.00401244491063002,0.827492596248766,0.8265054294175715,-0.000987166831194486,0.000987166831194486,9.71397540183716e-09,1.735700266181084e-06
features.2.conv.1.0,features.2,43,0.22893262511892457,0.22418999354310498,-0.004742631575819584,0.004742631575819584,0.827492596248766,0.8275913129318855,9.871668311944859e-05,9.871668311944859e-05,7.303389448765074e-09,9.027623377733108e-07
features.2.conv.1.0,features.2,44,0.22893262511892457,0.226581095262386,-0.0023515298565385534,0.0023515298565385534,0.827492596248766,0.8266535044422507,-0.000839091806515313,0.000839091806515313,5.206012954062089e-09,1.9110076721062802e-07
features.2.conv.1.0,features.2,45,0.22893262511892457,0.21615378003933264,-0.012778845079591927,0.012778845079591927,0.827492596248766,0.8268015794669299,-0.0006910167818361401,0.0006910167818361401,2.144061426179178e-07,4.0636042086816815e-08
features.2.conv.1.0,features.2,46,0.22893262511892457,0.22643622138763891,-0.0024964037312856513,0.0024964037312856513,0.827492596248766,0.8266535044422507,-0.000839091806515313,0.000839091806515313,2.2518470643717592e-08,6.750941849986702e-08
features.2.conv.1.0,features.2,47,0.22893262511892457,0.23104842324708794,0.002115798128163371,0.002115798128163371,0.827492596248766,0.8281342546890424,0.0006416584402764158,0.0006416584402764158,9.699402392371326e-10,6.859087875454861e-07
features.2.conv.1.0,features.2,48,0.22893262511892457,0.22899684622048316,6.422110155859806e-05,6.422110155859806e-05,0.827492596248766,0.8277887462981244,0.00029615004935834577,0.00029615004935834577,4.05427202920805e-09,3.74715284578997e-07
features.2.conv.1.0,features.2,49,0.22893262511892457,0.2301900388056468,0.0012574136867222474,0.0012574136867222474,0.827492596248766,0.8283316880552813,0.000839091806515313,0.000839091806515313,4.2588008675181754e-09,2.028579274337972e-06
features.2.conv.1.0,features.2,50,0.22893262511892457,0.2298187823015895,0.0008861571826649373,0.0008861571826649373,0.827492596248766,0.8273938795656466,-9.871668311944859e-05,9.871668311944859e-05,1.0064737665516077e-07,2.6902500227521382e-09
features.2.conv.1.0,features.2,51,0.22893262511892457,0.2560342147471057,0.027101589628181127,0.027101589628181127,0.827492596248766,0.8147581441263574,-0.012734452122408646,0.012734452122408646,1.710514681008135e-07,1.6586096052151333e-08
features.2.conv.1.0,features.2,52,0.22893262511892457,0.22987051625996202,0.0009378911410374557,0.0009378911410374557,0.827492596248766,0.826061204343534,-0.0014313919052320045,0.0014313919052320045,5.7394661467924386e-08,1.0875744749228032e-08
features.2.conv.1.0,features.2,53,0.22893262511892457,0.22177351742787338,-0.007159107691051186,0.007159107691051186,0.827492596248766,0.8281836130306022,0.0006910167818361401,0.0006910167818361401,4.0418193236746454e-08,2.025040402031664e-08
features.2.conv.1.0,features.2,54,0.22893262511892457,0.23142438536760596,0.0024917602486813906,0.0024917602486813906,0.827492596248766,0.8264560710760118,-0.0010365251727542102,0.0010365251727542102,7.587935613173613e-08,1.2986385300450822e-08
features.2.conv.1.0,features.2,55,0.22893262511892457,0.23508039005353834,0.006147764934613775,0.006147764934613775,0.827492596248766,0.8269496544916091,-0.0005429417571569672,0.0005429417571569672,4.744434622949711e-09,3.770534704017337e-06
features.2.conv.1.0,features.2,56,0.22893262511892457,0.21352024058166155,-0.015412384537263013,0.015412384537263013,0.827492596248766,0.8277887462981244,0.00029615004935834577,0.00029615004935834577,2.3138451865634127e-07,4.96126233429095e-08
features.2.conv.1.0,features.2,57,0.22893262511892457,0.24276791311996593,0.013835288001041363,0.013835288001041363,0.827492596248766,0.8253208292201382,-0.002171767028627869,0.002171767028627869,2.8331078283372335e-07,7.429655397572787e-07
features.2.conv.1.0,features.2,58,0.22893262511892457,0.22662007642372406,-0.002312548695200506,0.002312548695200506,0.827492596248766,0.8269002961500493,-0.0005923000987166915,0.0005923000987166915,7.658204737026608e-09,5.362373372008733e-07
features.2.conv.1.0,features.2,59,0.22893262511892457,0.22662645423543096,-0.002306170883493608,0.002306170883493608,0.827492596248766,0.8259624876604146,-0.0015301085883514531,0.0015301085883514531,3.725977393287394e-08,9.891659047411851e-09
features.2.conv.1.0,features.2,60,0.22893262511892457,0.24126561864242382,0.012332993523499258,0.012332993523499258,0.827492596248766,0.8246791707798617,-0.002813425468904285,0.002813425468904285,7.620251807338718e-08,1.1516875986217201e-07
features.2.conv.1.0,features.2,61,0.22893262511892457,0.23756040368858788,0.008627778569663319,0.008627778569663319,0.827492596248766,0.8268015794669299,-0.0006910167818361401,0.0006910167818361401,1.0776955150504365e-07,5.695521210213884e-08
features.2.conv.1.0,features.2,62,0.22893262511892457,0.2277652146299684,-0.001167410488956161,0.001167410488956161,0.827492596248766,0.8275419545903258,4.9358341559724295e-05,4.9358341559724295e-05,3.6466614172780965e-09,3.13515715788526e-06
